Species,Gregariousness,Water.Column,Activity,Diet,Habitat,TrophicLevel,BodySize
Amblygobius buanensis,1,1,Day,Grazer,sand,2,2
Amblygobius bynoensis,1,1,Day,Omnivore,sand,2,2
Amblygobius decussatus,1,1,Day,Omnivore,sand,2,2
Amblygobius nocturnus,1,1,Day,Omnivore,sand,2,2
Amblygobius phalaena,1,1,Day,Omnivore,sand,2,2
Amblyrhynchotes honckenii,1,2,Day,Invertivore,sand,3,3
Ammodytes tobianus,2,1,Day,Planktivore,sand,3,3
Amphichaetodon howensis,1,2,Day,Invertivore,coral,2,3
Amphiprion akallopisos,2,2,Day,Omnivore,coral,2,2
Amphiprion akindynos,2,2,Day,Omnivore,coral,2,2
Amphiprion allardi,2,2,Day,Omnivore,coral,2,2
Amphiprion bicinctus,2,2,Day,Omnivore,coral,2,2
Amphiprion chrysopterus,2,2,Day,Omnivore,coral,2,3
Amphiprion clarkii,2,2,Day,Planktivore,coral,2,2
Amphiprion ephippium,2,2,Day,Omnivore,coral,2,2
Amphiprion frenatus,2,2,Day,Omnivore,coral,2,2
Amphiprion fuscocaudatus,2,2,Day,Grazer,coral,2,2
Amphiprion latezonatus,2,2,Day,Omnivore,coral,2,2
Amphiprion leucokranos,2,2,Day,Grazer,coral,2,2
Amphiprion mccullochi,2,2,Day,Omnivore,coral,2,2
Amphiprion melanopus,2,2,Day,Omnivore,coral,2,2
Amphiprion nigripes,2,2,Day,Grazer,coral,2,2
Amphiprion ocellaris,2,2,Day,Omnivore,coral,2,2
Amphiprion percula,2,2,Day,Omnivore,coral,2,2
Amphiprion perideraion,2,2,Day,Omnivore,coral,2,2
Amphiprion polymnus,2,2,Day,Planktivore,coral,2,2
Amphiprion rubrocinctus,2,2,Day,Omnivore,coral,2,2
Amphiprion sandaracinos,2,2,Day,Omnivore,coral,2,2
Anampses caeruleopunctatus,2,2,Day,Invertivore,coral,3,4
Anampses cuvier,2,2,Day,Invertivore,coral,3,4
Anampses elegans,2,2,Day,Invertivore,coral,3,3
Anampses femininus,2,2,Day,Invertivore,coral,3,3
Anampses geographicus,2,2,Day,Invertivore,coral,3,4
Anampses lennardi,2,2,Day,Invertivore,coral,3,3
Anampses lineatus,2,2,Day,Invertivore,coral,3,2
Anampses melanurus,2,2,Day,Invertivore,coral,3,2
Anampses meleagrides,2,2,Day,Invertivore,coral,3,3
Anampses neoguinaicus,2,2,Day,Invertivore,coral,3,3
Anampses twistii,2,2,Day,Invertivore,coral,3,3
Anarrhichthys ocellatus,1,1,Day,Invertivore,rock,3,6
Anisotremus caesius,3,2,Night,Invertivore,coral,3,3
Anisotremus davidsonii,1,1,Day,Piscivore,rock,3,5
Anisotremus interruptus,3,2,Night,Invertivore,coral,3,5
Anisotremus scapularis,3,2,Night,Invertivore,coral,3,4
Anisotremus surinamensis,3,2,Night,Invertivore,coral,3,5
Anisotremus taeniatus,3,2,Night,Invertivore,coral,5,4
Anisotremus virginicus,3,2,Night,Invertivore,coral,3,4
Anoplocapros amygdaloides,1,2,Day,Invertivore,rock,3,4
Anoplocapros inermis,1,2,Day,Invertivore,rock,3,4
Anoplocapros lenticularis,1,2,Day,Invertivore,rock,3,4
Anyperodon leucogrammicus,1,2,Day,Piscivore,coral,4,5
Aphareus furca,1,2,Day,Piscivore,coral,5,5
Aphareus rutilans,1,2,Day,Piscivore,rock,5,5
Aploactisoma milesii,1,1,Day,Invertivore,rock,3,3
Aplodactylus arctidens,2,2,Day,Grazer,rock,1,5
Aplodactylus etheridgii,2,2,Day,Grazer,rock,1,4
Aplodactylus lophodon,2,2,Day,Grazer,rock,1,4
Aplodactylus westralis,2,2,Day,Grazer,rock,1,5
Ostorhinchus apogonoides,2,3,Night,Invertivore,coral,3,2
Apogon atradorsatus,2,3,Night,Invertivore,coral,3,2
Apogon atricaudus,2,3,Night,Invertivore,coral,3,2
Apogon binotatus,2,3,Night,Invertivore,coral,3,2
Ostorhinchus chrysotaenia,2,3,Night,Invertivore,coral,4,2
Apogon dovii,2,3,Night,Invertivore,coral,3,2
Ostorhinchus fasciatus,2,3,Night,Invertivore,rock,4,2
Apogon imberbis,3,3,Night,Planktivore,rock,4,2
Apogon lachneri,2,3,Night,Invertivore,coral,3,1
Apogon maculatus,2,3,Night,Invertivore,coral,3,2
Ostorhinchus multilineatus,2,3,Night,Invertivore,coral,3,2
Apogon pacificus,2,3,Night,Invertivore,coral,3,2
Apogon retrosella,2,3,Night,Invertivore,coral,3,2
Ostorhinchus schlegeli,2,3,Night,Invertivore,rock,3,2
Apogon townsendi,2,3,Night,Invertivore,coral,3,1
Apogonichthyoides pseudotaeniatus,1,1,Night,Planktivore,sand,3,2
Apogonichthyoides timorensis,2,2,Night,Invertivore,sand,3,2
Apolemichthys trimaculatus,1,2,Day,Invertivore,coral,2,3
Aprion virescens,1,3,Day,Piscivore,coral,4,6
Aracana aurita,1,2,Day,Invertivore,rock,3,3
Aracana ornata,1,2,Day,Invertivore,rock,3,2
Archamia bleekeri,1,1,Night,Planktivore,coral,4,2
Arenigobius frenatus,1,1,Day,Invertivore,sand,2,3
Argyrosomus japonicus,3,1,Night,Piscivore,rock,5,6
Arnoglossus bassensis,1,1,Day,Invertivore,sand,4,3
Arothron caeruleopunctatus,1,2,Day,Invertivore,coral,3,5
Arothron diadematus,1,2,Day,Invertivore,coral,3,3
Arothron hispidus,1,2,Day,Invertivore,coral,3,4
Arothron manilensis,1,2,Day,Invertivore,coral,3,4
Arothron mappa,1,2,Day,Omnivore,coral,2,5
Arothron meleagris,1,2,Day,Invertivore,coral,3,4
Arothron nigropunctatus,1,2,Day,Omnivore,coral,3,4
Arothron stellatus,1,2,Day,Invertivore,coral,3,6
