Species,Gregariousness,Water.Column,Activity,Diet,Habitat,TrophicLevel,BodySize
Chaetodon zanzibarensis,2,2,Day,Corallivore,coral,3,2
Chaetodontoplus conspicillatus,1,2,Day,Invertivore,coral,2,3
Chaetodontoplus duboulayi,1,2,Day,Invertivore,coral,2,3
Chaetodontoplus meredithi,1,2,Day,Invertivore,coral,2,3
Chaetodontoplus mesoleucus,1,2,Day,Invertivore,coral,2,3
Chaetodontoplus personifer,1,2,Day,Invertivore,coral,2,4
Chaetodontoplus septentrionalis,1,2,Day,Invertivore,rock,2,3
Chanos chanos,2,4,Day,Grazer,water column,1,6
Cheilinus abudjubbe,1,1,Day,Invertivore,coral,3,3
Cheilinus chlorourus,1,2,Day,Invertivore,coral,3,4
Cheilinus fasciatus,1,2,Day,Invertivore,coral,3,4
Cheilinus lunulatus,1,2,Day,Invertivore,coral,4,4
Cheilinus oxycephalus,1,2,Day,Invertivore,coral,3,3
Cheilinus trilobatus,1,2,Day,Invertivore,coral,3,4
Cheilinus undulatus,1,2,Day,Invertivore,coral,4,6
Cheilio inermis,1,2,Day,Invertivore,coral,4,4
Cheilodactylus fasciatus,1,2,Day,Invertivore,rock,3,3
Cheilodactylus pixi,1,2,Day,Invertivore,rock,3,3
Cheilodipterus arabicus,1,3,Night,Planktivore,coral,3,3
Cheilodipterus artus,1,3,Night,Planktivore,coral,5,3
Cheilodipterus intermedius,1,3,Night,Planktivore,coral,5,3
Cheilodipterus isostigmus,1,3,Night,Planktivore,coral,5,2
Cheilodipterus lachneri,1,1,Night,Planktivore,coral,4,2
Cheilodipterus macrodon,1,3,Night,Planktivore,coral,4,3
Cheilodipterus nigrotaeniatus,1,3,Night,Planktivore,coral,4,2
Cheilodipterus parazonatus,1,3,Night,Invertivore,coral,4,3
Cheilodipterus quinquelineatus,1,3,Night,Planktivore,coral,4,2
Cheilodipterus singapurensis,1,1,Night,Planktivore,coral,5,3
Cheiloprion labiatus,2,2,Day,Corallivore,coral,3,1
Chelidonichthys capensis,1,1,Night,Piscivore,sand,5,5
Chelmon marginalis,1,2,Day,Corallivore,coral,3,3
Chelmon rostratus,1,2,Day,Invertivore,coral,3,3
Chelmonops curiosus,1,2,Day,Invertivore,rock,3,3
Chelmonops truncatus,1,2,Day,Invertivore,rock,2,3
Chelon labrosus,3,3,Day,Omnivore,sand,2,5
Chilomycterus antennatus,1,2,Day,Invertivore,coral,3,4
Chilomycterus reticulatus,1,2,Day,Invertivore,coral,3,5
Chirodactylus brachydactylus,1,2,Day,Invertivore,rock,3,4
Chirolophis ascanii,1,1,Night,Invertivore,rock,3,3
Chironemus marmoratus,1,1,Day,Invertivore,rock,3,4
Chironemus microlepis,1,1,Day,Grazer,rock,3,4
Chlorurus atrilunula,2,2,Day,Microphage,coral,1,3
Chlorurus bleekeri,2,2,Day,Microphage,coral,1,4
Chlorurus bowersi,1,1,Day,Microphage,coral,1,4
Chlorurus capistratoides,2,2,Day,Microphage,coral,1,4
Chlorurus frontalis,2,2,Day,Microphage,coral,1,4
Chlorurus gibbus,2,2,Day,Microphage,coral,1,5
Chlorurus japanensis,2,2,Day,Microphage,coral,1,4
Chlorurus microrhinos,2,2,Day,Microphage,coral,1,5
Chlorurus rhakoura,2,2,Day,Microphage,coral,1,4
Chlorurus sordidus,2,2,Day,Microphage,coral,1,4
Chlorurus spilurus,2,2,Day,Microphage,coral,3,4
Chlorurus strongylocephalus,2,2,Day,Microphage,coral,1,5
Choerodon anchorago,1,2,Day,Invertivore,coral,4,4
Choerodon azurio,1,2,Day,Invertivore,rock,3,3
Choerodon cauteroma,1,2,Day,Invertivore,coral,3,4
Choerodon cephalotes,1,2,Day,Invertivore,rock,3,4
Choerodon cyanodus,1,2,Day,Invertivore,coral,4,5
Choerodon fasciatus,1,2,Day,Invertivore,coral,3,3
Choerodon graphicus,1,2,Day,Invertivore,coral,3,5
Choerodon jordani,1,2,Day,Invertivore,rock,3,3
Choerodon monostigma,1,2,Day,Invertivore,sand,4,4
Choerodon rubescens,1,2,Day,Invertivore,rock,4,6
Choerodon schoenleinii,1,2,Day,Invertivore,coral,3,6
Choerodon vitta,1,2,Day,Invertivore,coral,3,3
Cromileptes altivelis,1,2,Day,Piscivore,coral,4,5
Chromis abrupta,3,2,Day,Planktivore,coral,2,1
Chromis acares,3,2,Day,Planktivore,coral,2,1
Chromis agilis,3,2,Day,Planktivore,coral,2,2
Chromis alpha,3,2,Day,Planktivore,coral,2,2
Chromis alta,3,2,Day,Planktivore,coral,3,2
Chromis amboinensis,2,2,Day,Planktivore,coral,2,2
Chromis analis,3,2,Day,Planktivore,coral,2,3
Chromis atrilobata,3,2,Day,Planktivore,coral,3,2
Chromis atripectoralis,3,2,Day,Planktivore,coral,3,2
Chromis atripes,2,2,Day,Planktivore,coral,2,2
Chromis bami,3,2,Day,Planktivore,coral,2,1
Chromis caudalis,3,2,Day,Planktivore,coral,2,2
Chromis chromis,3,2,Day,Planktivore,rock,2,3
Chromis chrysura,3,2,Day,Planktivore,coral,2,2
Chromis cinerascens,3,2,Day,Planktivore,coral,2,2
Chromis crusma,3,2,Day,Planktivore,coral,2,2
Chromis cyanea,2,2,Day,Planktivore,coral,3,2
Chromis dimidiata,2,2,Day,Planktivore,coral,2,2
Chromis dispilus,3,2,Day,Planktivore,rock,2,3
Chromis elerae,3,2,Day,Planktivore,coral,2,1
Chromis flavaxilla,3,2,Day,Planktivore,coral,3,2
Chromis flavipectoralis,3,2,Day,Planktivore,coral,2,2
Chromis flavomaculata,3,2,Day,Planktivore,coral,2,3
Chromis fumea,3,2,Day,Planktivore,coral,3,2
Chromis hanui,3,2,Day,Planktivore,coral,2,1
Chromis hypsilepis,3,2,Day,Planktivore,coral,2,3
Chromis insolata,3,2,Day,Planktivore,coral,3,3
Chromis iomelas,2,2,Day,Planktivore,coral,2,2
Chromis klunzingeri,3,2,Day,Planktivore,rock,2,2
Chromis lepidolepis,2,2,Day,Planktivore,coral,3,2
Chromis limbata,3,2,Day,Planktivore,rock,3,2
Chromis limbaughi,1,1,Day,Planktivore,rock,3,2
Chromis lineata,3,2,Day,Planktivore,coral,2,1
Chromis margaritifer,3,2,Day,Planktivore,coral,2,2
Chromis multilineata,3,2,Day,Planktivore,coral,2,3
Chromis nigrura,3,2,Day,Planktivore,coral,3,1
Chromis nitida,3,2,Day,Planktivore,coral,2,1
Chromis notata,3,2,Day,Planktivore,coral,3,3
Chromis opercularis,3,2,Day,Planktivore,coral,2,3
Chromis ovalis,3,2,Day,Planktivore,coral,3,2
Chromis pamae,3,2,Day,Planktivore,coral,3,2
Chromis pelloura,3,1,Day,Planktivore,coral,2,2
Chromis pembae,3,2,Day,Planktivore,coral,2,2
Chromis punctipinnis,3,2,Day,Planktivore,rock,2,3
Chromis randalli,3,2,Day,Planktivore,coral,2,2
Chromis retrofasciata,2,2,Day,Planktivore,coral,2,1
Chromis scotochiloptera,3,2,Day,Planktivore,coral,3,3
Chromis scotti,3,2,Day,Planktivore,coral,3,2
Chromis ternatensis,3,2,Day,Planktivore,coral,3,2
Chromis vanderbilti,2,2,Day,Planktivore,coral,3,1
Chromis viridis,3,2,Day,Planktivore,coral,1,2
Chromis weberi,3,2,Day,Planktivore,coral,3,2
Chromis westaustralis,3,2,Day,Planktivore,rock,2,2
Chromis xanthochira,3,2,Day,Planktivore,coral,2,2
Chromis xanthura,3,2,Day,Planktivore,coral,3,2
Chromis xutha,3,2,Day,Planktivore,coral,2,1
Chrysiptera biocellata,2,2,Day,Grazer,coral,1,2
Chrysiptera brownriggii,2,2,Day,Grazer,coral,2,2
Chrysiptera cyanea,2,2,Day,Omnivore,coral,1,2
Chrysiptera flavipinnis,2,2,Day,Omnivore,coral,2,2
Chrysiptera galba,2,2,Day,Grazer,coral,2,1
Chrysiptera glauca,2,2,Day,Omnivore,coral,1,2
Chrysiptera hemicyanea,2,2,Day,Planktivore,coral,2,2
Chrysiptera notialis,2,2,Day,Omnivore,coral,2,2
Chrysiptera oxycephala,1,1,Day,Planktivore,coral,2,2
Chrysiptera parasema,2,2,Day,Omnivore,coral,3,1
Chrysiptera rapanui,2,2,Day,Omnivore,coral,2,1
Chrysiptera rex,2,2,Day,Omnivore,coral,1,1
Chrysiptera rollandi,2,2,Day,Omnivore,coral,2,2
Chrysiptera springeri,1,1,Day,Planktivore,coral,2,1
Chrysiptera starcki,2,2,Day,Omnivore,coral,2,1
Chrysiptera talboti,2,2,Day,Omnivore,coral,2,1
Chrysiptera taupou,2,2,Day,Omnivore,coral,2,2
Chrysiptera traceyi,1,1,Day,Planktivore,coral,2,1
Chrysiptera tricincta,2,2,Day,Omnivore,coral,2,1
Chrysiptera unimaculata,2,2,Day,Grazer,coral,1,2
Chrysoblephus laticeps,1,2,Day,Invertivore,rock,4,4
Cirrhilabrus beauperryi,3,1,Day,Planktivore,coral,3,2
Cirrhilabrus cyanopleura,2,2,Day,Invertivore,coral,3,2
Cirrhilabrus exquisitus,2,2,Day,Invertivore,coral,3,2
Cirrhilabrus flavidorsalis,3,1,Day,Planktivore,coral,3,1
Cirrhilabrus katherinae,2,2,Day,Invertivore,coral,3,2
Cirrhilabrus laboutei,2,2,Day,Invertivore,coral,3,2
Cirrhilabrus lineatus,2,2,Day,Invertivore,coral,3,2
Cirrhilabrus punctatus,2,2,Day,Invertivore,coral,3,2
Cirrhilabrus randalli,2,3,Day,Planktivore,coral,3,2
Cirrhilabrus scottorum,2,2,Day,Invertivore,coral,3,2
Cirrhilabrus solorensis,2,2,Day,Invertivore,coral,3,2
Cirrhilabrus temminckii,2,2,Day,Invertivore,coral,3,2
Cirrhilabrus walindi,2,2,Day,Invertivore,coral,3,1
Cirrhitichthys aprinus,1,1,Day,Invertivore,coral,3,2
Cirrhitichthys falco,1,1,Day,Invertivore,coral,4,1
Cirrhitichthys oxycephalus,1,1,Day,Invertivore,coral,4,2
Cirrhitops fasciatus,1,1,Day,Invertivore,coral,4,2
Cirrhitops hubbardi,1,1,Day,Invertivore,coral,4,3
Cirrhitus pinnulatus,1,1,Day,Invertivore,coral,4,3
Cirrhitus rivulatus,1,1,Day,Invertivore,coral,4,5
Cirripectes alboapicalis,1,1,Day,Grazer,rock,1,2
Cirripectes alleni,1,1,Day,Omnivore,coral,1,1
Cirripectes auritus,1,1,Day,Grazer,coral,1,2
Cirripectes castaneus,1,1,Day,Grazer,coral,1,2
Cirripectes chelomatus,1,1,Day,Grazer,coral,1,2
Cirripectes filamentosus,1,1,Day,Grazer,coral,1,2
Cirripectes fuscoguttatus,1,1,Day,Grazer,coral,1,2
Cirripectes hutchinsi,1,1,Day,Grazer,rock,1,2
Cirripectes polyzona,1,1,Day,Grazer,coral,2,2
Cirripectes springeri,1,1,Day,Grazer,coral,1,2
Cirripectes stigmaticus,1,1,Day,Grazer,coral,1,2
Cirripectes vanderbilti,1,1,Day,Grazer,coral,1,2
Cirripectes variolosus,1,1,Day,Grazer,coral,1,2
Citharichthys stigmaeus,1,1,Night,Invertivore,sand,3,3
Cleidopus gloriamaris,2,2,Night,Invertivore,rock,4,3
Clepticus parrae,3,2,Day,Planktivore,coral,3,3
Clinus superciliosus,1,1,Day,Invertivore,rock,3,3
Clinus venustris,1,1,Day,Invertivore,rock,3,2
Cnidoglanis macrocephalus,1,2,Night,Invertivore,rock,2,6
Cochleoceps bicolor,1,1,Day,Invertivore,rock,3,1
Cochleoceps orientalis,1,1,Day,Invertivore,rock,3,1
Conger verreauxi,1,1,Day,Piscivore,rock,5,6
Congiopodus peruvianus,1,1,Day,Invertivore,rock,3,3
Coradion altivelis,1,2,Day,Invertivore,rock,2,3
Coradion chrysozonus,1,2,Day,Invertivore,coral,2,2
Coris auricularis,2,2,Day,Invertivore,rock,3,4
Coris aurilineata,1,2,Day,Invertivore,rock,3,2
Coris aygula,2,2,Day,Invertivore,coral,3,6
Coris batuensis,1,2,Day,Invertivore,coral,3,3
Coris bulbifrons,1,2,Day,Invertivore,coral,3,6
Coris caudimacula,1,2,Day,Invertivore,coral,3,3
Coris centralis,1,2,Day,Invertivore,coral,3,2
Coris cuvieri,1,2,Day,Invertivore,coral,3,4
Coris debueni,1,2,Day,Invertivore,coral,3,3
Coris dorsomacula,1,2,Day,Invertivore,rock,3,3
Coris formosa,1,2,Day,Invertivore,coral,3,5
Coris gaimard,1,2,Day,Invertivore,coral,3,4
Coris hewetti,1,2,Day,Invertivore,coral,3,2
Coris julis,2,2,Day,Invertivore,rock,3,3
Coris picta,2,2,Day,Invertivore,coral,3,3
Coris pictoides,1,2,Day,Invertivore,coral,3,2
Coris roseoviridis,1,2,Day,Invertivore,coral,3,3
Coris sandeyeri,2,2,Day,Invertivore,rock,3,3
Coris venusta,1,2,Day,Invertivore,coral,3,3
Coryphopterus dicrus,1,1,Day,Omnivore,sand,2,1
Coryphopterus eidolon,1,1,Day,Omnivore,sand,1,1
Coryphopterus glaucofraenum,1,1,Day,Omnivore,sand,2,2
Coryphopterus hyalinus,1,1,Day,Omnivore,sand,2,1
Coryphopterus lipernes,1,1,Day,Grazer,sand,2,1
Coryphopterus personatus,1,1,Day,Omnivore,sand,2,1
Coryphopterus urospilus,1,1,Day,Omnivore,sand,3,1
Corythoichthys conspicillatus,1,1,Day,Invertivore,coral,3,3
Corythoichthys haematopterus,1,1,Day,Planktivore,coral,3,3
Corythoichthys intestinalis,1,1,Day,Invertivore,coral,3,3
Corythoichthys ocellatus,1,1,Night,Planktivore,coral,4,2
Corythoichthys schultzi,1,1,Day,Planktivore,coral,4,3
Cratinus agassizii,1,2,Day,Piscivore,rock,5,5
Cremnochorites capensis,1,1,Day,Invertivore,rock,3,2
Crenimugil crenilabis,3,3,Day,Grazer,sand,1,5
Cristiceps aurantiacus,1,1,Day,Invertivore,rock,4,3
Crocodilichthys gracilis,1,1,Day,Invertivore,rock,2,1
Crossosalarias macrospilus,1,1,Day,Grazer,coral,1,2
Cryptichthys jojettae,1,1,Day,Invertivore,rock,3,1
Cryptocentrus caeruleomaculatus,1,1,Day,Invertivore,sand,2,2
Cryptocentrus caeruleopunctatus,1,1,Day,Invertivore,sand,3,2
Cryptocentrus cinctus,1,1,Day,Grazer,sand,3,2
Cryptocentrus cryptocentrus,2,1,Day,Grazer,sand,3,2
Cryptocentrus fasciatus,1,1,Day,Invertivore,sand,3,2
Cryptocentrus strigilliceps,1,1,Day,Invertivore,sand,3,2
Ctenochaetus binotatus,2,2,Day,Grazer,coral,1,3
Ctenochaetus cyanocheilus,2,2,Day,Grazer,coral,1,3
Ctenochaetus flavicauda,2,2,Day,Grazer,coral,1,2
Ctenochaetus hawaiiensis,2,2,Day,Grazer,coral,1,3
Ctenochaetus marginatus,2,2,Day,Grazer,coral,1,3
Ctenochaetus striatus,2,2,Day,Grazer,coral,1,3
Ctenochaetus tominiensis,2,2,Day,Grazer,coral,1,3
Ctenochaetus truncatus,2,2,Day,Grazer,coral,1,3
Ctenogobiops aurocingulus,1,1,Day,Grazer,sand,3,2
Ctenogobiops crocineus,1,1,Day,Invertivore,sand,3,2
Ctenogobiops feroculus,1,1,Day,Invertivore,sand,3,2
Ctenogobiops maculosus,1,1,Day,Invertivore,sand,3,1
Ctenogobiops mitodes,1,1,Day,Invertivore,sand,3,2
Ctenogobiops pomastictus,1,1,Day,Invertivore,sand,3,2
Ctenogobiops tangaroai,1,1,Day,Invertivore,sand,3,2
Ctenolabrus rupestris,1,2,Day,Invertivore,rock,3,3
Cybiosarda elegans,3,4,Day,Piscivore,water column,4,4
Cyclichthys orbicularis,1,2,Day,Invertivore,coral,4,3
Cymatogaster aggregata,3,3,Day,Invertivore,rock,2,3
Cymbacephalus beauforti,1,1,Night,Piscivore,sand,5,4
Cypho purpurascens,1,1,Night,Invertivore,coral,4,2
Cypho zaps,1,1,Day,Invertivore,coral,3,1
Cyprinocirrhites polyactis,1,1,Day,Invertivore,coral,3,2
Dactylophora nigricans,1,2,Day,Invertivore,rock,2,6
Dascyllus albisella,2,2,Day,Planktivore,coral,3,2
Dascyllus aruanus,3,2,Day,Omnivore,coral,1,2
Dascyllus carneus,3,2,Day,Planktivore,coral,2,1
Dascyllus flavicaudus,3,2,Day,Planktivore,coral,2,2
Dascyllus marginatus,1,1,Day,Planktivore,coral,2,1
Dascyllus melanurus,2,2,Day,Planktivore,coral,2,2
Dascyllus reticulatus,3,2,Day,Planktivore,coral,3,2
Dascyllus strasburgi,3,2,Day,Planktivore,coral,2,2
Dascyllus trimaculatus,3,2,Day,Planktivore,coral,2,2
Decapterus koheru,3,4,Day,Planktivore,water column,3,4
Decapterus macarellus,3,4,Day,Piscivore,water column,3,4
Decapterus muroadsi,3,4,Day,Planktivore,water column,3,4
Decapterus punctatus,1,1,Day,Piscivore,sand,5,4
Dellichthys morelandi,1,1,Day,Invertivore,sand,3,1
Dendrochirus barberi,1,1,Day,Piscivore,coral,5,3
Dendrochirus zebra,1,1,Day,Invertivore,coral,4,3
Dentex dentex,1,2,Day,Piscivore,rock,5,6
Dermatolepis dermatolepis,1,2,Day,Piscivore,rock,5,6
Diademichthys lineatus,1,1,Day,Invertivore,coral,3,1
Diagramma labiosum,1,2,Night,Invertivore,coral,4,6
Diagramma melanacrum,1,1,Day,Piscivore,coral,4,4
Dicentrarchus labrax,2,4,Day,Piscivore,water column,4,6
Dicentrarchus punctatus,3,3,Day,Piscivore,sand,4,5
Dichistius capensis,3,4,Day,Invertivore,water column,3,5
Dicotylichthys punctulatus,1,2,Day,Invertivore,rock,3,4
Dinolestes lewini,3,3,Day,Piscivore,rock,4,6
Diodon holocanthus,1,2,Day,Invertivore,coral,3,4
Diodon hystrix,1,2,Day,Invertivore,coral,3,6
Diodon liturosus,1,2,Day,Invertivore,coral,3,5
Diodon nicthemerus,1,2,Day,Invertivore,rock,3,4
Diplectrum bivittatum,1,1,Day,Piscivore,sand,4,3
Diplodus annularis,2,2,Day,Invertivore,rock,3,4
Diplodus capensis,2,2,Day,Invertivore,rock,2,4
Diplodus puntazzo,2,2,Day,Omnivore,rock,2,5
Diplodus vulgaris,2,2,Day,Invertivore,rock,3,4
Diplogrammus goramensis,1,1,Night,Invertivore,sand,3,2
Diplogrammus xenicus,1,1,Day,Invertivore,sand,4,2
Diploprion bifasciatum,1,2,Day,Invertivore,sand,4,3
Diproctacanthus xanthurus,1,2,Day,Invertivore,coral,3,2
Dipterygonotus balteatus,3,4,Day,Planktivore,water column,3,4
Dischistodus chrysopoecilus,2,2,Day,Grazer,coral,1,2
Dischistodus darwiniensis,2,2,Day,Grazer,coral,1,2
Dischistodus melanotus,2,2,Day,Grazer,coral,1,3
Dischistodus perspicillatus,2,2,Day,Grazer,coral,1,3
Dischistodus prosopotaenia,2,2,Day,Grazer,coral,1,3
Dischistodus pseudochrysopoecilus,2,2,Day,Grazer,coral,1,3
Doratonotus megalepis,1,2,Day,Invertivore,coral,3,2
Dotalabrus alleni,1,2,Day,Invertivore,rock,3,2
Dotalabrus aurantiacus,1,2,Day,Invertivore,rock,3,2
Dunckerocampus dactyliophorus,3,1,Night,Planktivore,coral,4,3
Echeneis naucrates,2,4,Day,Piscivore,water column,3,6
Echeneis neucratoides,2,4,Day,Piscivore,water column,3,5
Echidna nebulosa,1,1,Night,Invertivore,coral,4,6
Echidna nocturna,1,1,Night,Invertivore,coral,4,5
Ecsenius aequalis,1,1,Day,Grazer,coral,1,1
Ecsenius alleni,1,1,Day,Grazer,coral,1,1
Ecsenius australianus,1,1,Day,Grazer,coral,1,1
Ecsenius bandanus,1,1,Day,Grazer,coral,1,1
Ecsenius bathi,1,1,Day,Grazer,coral,1,1
Ecsenius bicolor,1,1,Day,Grazer,coral,1,2
Ecsenius fijiensis,1,1,Day,Omnivore,coral,1,1
Ecsenius fourmanoiri,1,1,Day,Grazer,coral,1,1
Ecsenius frontalis,1,1,Day,Grazer,coral,1,2
Ecsenius gravieri,1,1,Day,Grazer,coral,1,2
Ecsenius lineatus,1,1,Day,Grazer,coral,1,2
Ecsenius lividanalis,1,1,Day,Grazer,coral,1,1
Ecsenius mandibularis,1,1,Day,Grazer,coral,1,2
Ecsenius midas,1,1,Day,Grazer,coral,2,2
Ecsenius minutus,1,1,Day,Grazer,coral,1,1
Ecsenius nalolo,1,1,Day,Grazer,coral,1,1
Ecsenius namiyei,1,1,Day,Grazer,coral,1,2
Ecsenius oculatus,1,1,Day,Grazer,coral,1,1
Ecsenius prooculis,1,1,Day,Grazer,coral,1,1
Ecsenius schroederi,1,1,Day,Grazer,coral,1,1
Ecsenius ops,1,1,Day,Grazer,coral,1,1
Ecsenius stictus,1,1,Day,Grazer,coral,1,1
Ecsenius stigmatura,1,1,Day,Grazer,coral,1,1
Ecsenius tigris,1,1,Day,Grazer,coral,1,1
Ecsenius trilineatus,1,1,Day,Grazer,coral,1,1
Ecsenius yaeyamaensis,1,1,Day,Grazer,coral,1,1
Ekemblemaria myersi,1,1,Day,Invertivore,coral,3,1
Elacatinus evelynae,1,1,Day,Invertivore,coral,3,1
Elacatinus figaro,1,1,Day,Invertivore,coral,3,1
Elacatinus genie,1,1,Day,Invertivore,coral,3,1
Elacatinus horsti,1,1,Day,Invertivore,coral,3,1
Elacatinus lobeli,1,1,Day,Grazer,coral,3,1
Elacatinus oceanops,1,1,Day,Invertivore,coral,3,1
Elacatinus prochilos,1,1,Day,Invertivore,coral,3,1
Elacatinus puncticulatus,1,1,Day,Invertivore,coral,3,1
Elacatinus randalli,1,1,Day,Invertivore,coral,3,1
Tigrigobius saucrus,1,1,Day,Invertivore,coral,2,1
Elacatinus xanthiprora,1,1,Day,Invertivore,coral,3,1
Elagatis bipinnulata,3,4,Day,Piscivore,water column,4,6
Eleotrica cableae,1,1,Day,Invertivore,sand,3,1
Elops affinis,3,4,Day,Planktivore,water column,5,6
Embiotoca jacksoni,3,3,Day,Invertivore,rock,3,4
Embiotoca lateralis,3,3,Day,Invertivore,rock,3,4
Emblemariopsis signifer,1,1,Night,Planktivore,coral,3,1
Enchelycore lichenosa,1,1,Night,Piscivore,coral,5,6
Enchelycore ramosa,1,1,Night,Piscivore,coral,5,6
Engraulis australis,3,4,Day,Planktivore,water column,2,2
Enneanectes carminalis,1,1,Day,Invertivore,coral,2,1
Enneapterygius atrogulare,1,1,Day,Invertivore,rock,2,1
Enneapterygius flavoccipitis,1,1,Day,Invertivore,coral,3,1
Enneapterygius hemimelas,1,1,Day,Invertivore,coral,2,1
Enneapterygius kermadecensis,1,1,Day,Invertivore,rock,2,1
Enneapterygius larsonae,1,1,Day,Invertivore,coral,2,1
Enneapterygius mirabilis,1,1,Day,Invertivore,coral,2,1
Enneapterygius rufopileus,1,1,Day,Invertivore,rock,2,1
Enneapterygius similis,1,1,Day,Invertivore,rock,2,1
Enneapterygius tutuilae,1,1,Day,Invertivore,coral,3,1
Enophrys diceraus,1,1,Day,Grazer,rock,3,4
Enoplosus armatus,2,2,Day,Invertivore,rock,3,4
Eocallionymus papilio,1,1,Day,Invertivore,rock,3,2
Epibulus brevis,1,2,Day,Invertivore,coral,4,3
Epibulus insidiator,1,2,Day,Invertivore,coral,4,5
Epinephelides armatus,1,2,Day,Piscivore,rock,4,5
Epinephelus guttatus,1,1,Day,Piscivore,coral,4,5
Epinephelus adscensionis,1,2,Day,Piscivore,coral,3,5
Epinephelus analogus,1,2,Day,Piscivore,coral,4,6
Epinephelus areolatus,1,2,Day,Piscivore,rock,4,4
Epinephelus bilobatus,1,2,Day,Piscivore,coral,4,4
Epinephelus bleekeri,1,2,Day,Piscivore,coral,4,5
Epinephelus coeruleopunctatus,1,2,Day,Invertivore,coral,4,5
Epinephelus coioides,1,2,Day,Piscivore,coral,4,6
Epinephelus corallicola,1,2,Day,Piscivore,coral,4,4
Epinephelus costae,1,2,Day,Piscivore,rock,4,6
Epinephelus cyanopodus,1,2,Day,Piscivore,coral,5,6
Epinephelus daemelii,1,2,Day,Piscivore,coral,4,6
Epinephelus fasciatus,1,2,Day,Invertivore,coral,4,4
Epinephelus fuscoguttatus,1,2,Day,Piscivore,coral,5,6
Epinephelus hexagonatus,1,2,Day,Piscivore,coral,5,3
Epinephelus howlandi,1,2,Day,Piscivore,coral,4,5
Epinephelus irroratus,1,2,Day,Piscivore,coral,4,3
Epinephelus itajara,1,2,Day,Invertivore,coral,5,6
Epinephelus labriformis,1,2,Day,Piscivore,coral,4,5
Epinephelus lanceolatus,1,2,Day,Piscivore,coral,4,6
Epinephelus longispinis,1,2,Day,Piscivore,coral,5,5
Epinephelus macrospilos,1,2,Day,Piscivore,coral,4,5
Epinephelus maculatus,1,2,Day,Piscivore,coral,4,5
Epinephelus malabaricus,1,2,Day,Piscivore,coral,4,6
Epinephelus marginatus,1,2,Day,Piscivore,rock,4,6
Epinephelus melanostigma,1,2,Day,Piscivore,coral,4,4
Epinephelus merra,1,2,Day,Piscivore,coral,4,4
Epinephelus morio,1,2,Day,Piscivore,coral,3,6
Epinephelus multinotatus,1,2,Day,Piscivore,coral,4,6
Hyporthodus octofasciatus,1,2,Day,Piscivore,coral,4,6
Epinephelus ongus,1,2,Day,Piscivore,coral,4,4
Epinephelus polyphekadion,1,2,Day,Piscivore,coral,4,6
Epinephelus quoyanus,1,2,Day,Piscivore,coral,4,4
Epinephelus rivulatus,1,2,Day,Piscivore,coral,4,4
Epinephelus socialis,1,2,Day,Piscivore,coral,5,5
Epinephelus spilotoceps,1,2,Day,Piscivore,coral,4,4
Epinephelus striatus,1,2,Day,Piscivore,coral,5,6
Epinephelus tauvina,1,2,Day,Piscivore,coral,5,5
Epinephelus trimaculatus,1,1,Day,Piscivore,coral,4,4
Epinephelus tukula,1,2,Day,Piscivore,coral,5,6
Epinephelus undulatostriatus,1,2,Day,Piscivore,rock,4,5
Equetus punctatus,3,1,Night,Invertivore,coral,3,3
Eubalichthys bucephalus,2,2,Day,Grazer,rock,2,4
Eubalichthys caeruleoguttatus,1,2,Day,Omnivore,rock,2,4
Eubalichthys cyanoura,1,2,Day,Omnivore,rock,2,4
Eubalichthys gunnii,2,2,Day,Grazer,rock,2,5
Eubalichthys mosaicus,1,2,Day,Grazer,rock,2,5
Eucinostomus dowii,2,3,Night,Invertivore,sand,3,3
Eupetrichthys angustipes,1,2,Day,Invertivore,rock,3,3
Euthynnus affinis,3,4,Day,Piscivore,water column,5,6
Euthynnus lineatus,3,4,Day,Piscivore,water column,4,6
Eutrigla gurnardus,1,1,Night,Invertivore,sand,4,5
Eviota albolineata,1,1,Day,Invertivore,coral,3,1
Eviota atriventris,1,1,Day,Invertivore,coral,2,1
Eviota bifasciata,1,1,Day,Invertivore,coral,3,1
Eviota bimaculata,1,1,Day,Invertivore,coral,2,1
Eviota fasciola,1,1,Day,Grazer,rock,3,1
Eviota guttata,1,1,Day,Invertivore,coral,3,1
Eviota hoesei,1,1,Day,Invertivore,coral,2,1
Eviota lachdeberei,1,1,Day,Grazer,coral,3,1
Eviota latifasciata,1,1,Day,Invertivore,coral,2,1
Eviota melasma,1,1,Day,Invertivore,coral,3,1
Eviota mikiae,1,1,Day,Invertivore,coral,3,1
Eviota nigriventris,1,1,Day,Invertivore,coral,3,1
Eviota pellucida,1,1,Day,Invertivore,coral,3,1
Eviota prasites,1,1,Day,Invertivore,coral,3,1
Eviota raja,1,1,Day,Grazer,coral,3,1
Eviota readerae,1,1,Day,Invertivore,coral,3,1
Eviota rubriceps,1,1,Day,Grazer,coral,2,1
Eviota sebreei,1,1,Day,Invertivore,coral,3,1
Eviota sigillata,1,1,Day,Invertivore,coral,3,1
Eviota queenslandica,1,1,Day,Invertivore,coral,3,1
Eviota storthynx,1,1,Day,Invertivore,rock,3,1
Eviota zebrina,1,1,Day,Grazer,coral,3,1
Evistias acutirostris,3,2,Day,Invertivore,rock,3,6
Exallias brevis,1,1,Day,Corallivore,coral,2,2
