sp_name;aesthe_score
Apogon_retrosella;1254.2197
Apogon_townsendi;1412.863
Apogonichthyoides_timorensis;1356.2324
Apolemichthys_trimaculatus;1721.1812
Aprion_virescens;1192.8422
Aracana_aurita;1985.3121
Aracana_ornata;1912.028
Archamia_bleekeri;1267.3857
Arcos_poecilophthalmos;1404.7362
Arenigobius_frenatus;1259.5559
Argyrosomus_hololepidotus;1193.0015
Argyrosomus_japonicus;1282.3218
Arothron_caeruleopunctatus;1481.0411
Arothron_diadematus;1448.42
Arothron_hispidus;1590.9263
Arothron_inconditus;1508.8948
Arothron_manilensis;1421.7654
Arothron_mappa;1626.3552
Arothron_meleagris;1483.233
Arothron_nigropunctatus;1548.8842
Arothron_stellatus;1627.2023
Arripis_georgianus;1172.4537
Arripis_trutta;1209.6833
Arripis_truttacea;1193.5466
Arripis_xylabion;1323.1104
Artedius_harringtoni;1519.0605
Aspasmogaster_tasmaniensis;1287.8165
Aspidontus_dussumieri;1356.3611
Aspidontus_taeniatus;1523.808
Assessor_flavissimus;1551.2413
Assessor_macneilli;1625.3274
Assessor_randalli;1622.0111
Assiculus_punctatus;1581.9586
Asterropteryx_striata;1246.0698
Atherina_hepsetus;1307.5529
Atherina_presbyter;1151.1667
Atherinomorus_vaigiensis;1158.4246
Atractoscion_aequidens;1199.2463
Atrosalarias_holomelas;1284.4121
Atule_mate;1226.9922
Atypichthys_latus;1567.704
Atypichthys_strigatus;1565.426
Aulacocephalus_temminckii;1642.093
Aulorhynchus_flavidus;1355.2527
Austrolabrus_maculatus;1408.3899
Axoclinus_cocoensis;1331.5393
Axoclinus_lucillae;1466.4539
Axoclinus_multicinctus;1400.9381
Axoclinus_rubinoffi;1477.7041
Azurina_eupalama;1339.9508
Balistapus_undulatus;2007.7928
Balistes_capriscus;1709.5105
Balistes_polylepis;1553.6353
Balistes_punctatus;1738.427
Balistes_vetula;1785.4336
Balistoides_conspicillum;1706.7241
Balistoides_viridescens;1607.5735
Bathygobius_krefftii;1359.6163
Bathygobius_lineatus;1372.9199
Bathystethus_cultratus;1183.7335
Batrachoides_boulengeri;1271.5853
Belone_belone;1122.0869
Belonoperca_chabanaudi;1562.605
Blenniella_chrysospilos;1324.5312
Bodianus_albotaeniatus;1615.5721
Bodianus_anthioides;1610.002
Bodianus_axillaris;1578.839
Bodianus_bilunulatus;1550.6284
Bodianus_diana;1474.7756
Bodianus_dictynna;1529.6726
Bodianus_diplotaenia;1560.547
Bodianus_eclancheri;1625.4331
Bodianus_frenchii;1482.0952
Bodianus_loxozonus;1675.0034
Bodianus_mesothorax;1547.391
