"sp_name","esthe_score","file_name","copyright"
"Allomycterus_pilatus","1472.9896","Allomycterus_pilatus_A_1","YES"
"Alphestes_immaculatus","1510.3021","Alphestes_immaculatus_A_2","YES"
"Altrichthys_azurelineatus","1421.8921","Altrichthys_azurelineatus_A_2","YES"
"Altrichthys_curatus","1462.4418","Altrichthys_curatus_A_2","YES"
"Aluterus_scriptus","1608.1896","Aluterus_scriptus_A_2","YES"
"Amanses_scopas","1466.009","Amanses_scopas_A_2","NO"
"Ambassis_jacksoniensis","1327.6875","Ambassis_jacksoniensis_A_2","YES"
"Amblycirrhitus_bimacula","1394.8323","Amblycirrhitus_bimacula_A_1","YES"
"Amblycirrhitus_earnshawi","1349.9833","Amblycirrhitus_earnshawi_A_2","NO"
"Amblycirrhitus_pinos","1454.9655","Amblycirrhitus_pinos_A_1","YES"
"Amblyeleotris_fasciata","1357.9485","Amblyeleotris_fasciata_A_1","YES"
"Amblyeleotris_guttata","1470.9946","Amblyeleotris_guttata_A_1","NO"
"Amblyeleotris_gymnocephala","1296.466","Amblyeleotris_gymnocephala_A_1","YES"
"Amblyeleotris_japonica","1360.3741","Amblyeleotris_japonica_A_2","YES"
"Amblyeleotris_periophthalma","1454.2373","Amblyeleotris_periophthalma_A_3","NO"
"Amblyeleotris_steinitzi","1383.633","Amblyeleotris_steinitzi_A_2","NO"
"Amblyeleotris_sungami","1356.9629","Amblyeleotris_sungami_A_1","YES"
"Amblyeleotris_wheeleri","1444.8875","Amblyeleotris_wheeleri_A_1","YES"
"Amblyglyphidodon_aureus","1658.964","Amblyglyphidodon_aureus_A_2","NO"
"Amblyglyphidodon_batunai","1443.958","Amblyglyphidodon_batunai_A_2","YES"
"Amblyglyphidodon_curacao","1379.7534","Amblyglyphidodon_curacao_A_1","YES"
"Amblyglyphidodon_flavilatus","1461.699","Amblyglyphidodon_flavilatus_A_1","YES"
"Amblyglyphidodon_indicus","1521.4922","Amblyglyphidodon_indicus_J_1","YES"
"Amblyglyphidodon_leucogaster","1371.922","Amblyglyphidodon_leucogaster_A_2","YES"
"Amblyglyphidodon_melanopterus","1267.2938","Amblyglyphidodon_melanopterus_A_1","YES"
"Amblyglyphidodon_orbicularis","1411.5405","Amblyglyphidodon_orbicularis_A_1","YES"
"Amblyglyphidodon_ternatensis","1609.588","Amblyglyphidodon_ternatensis_J_1","NO"
"Amblygobius_buanensis","1307.338","Amblygobius_buanensis_A_2","YES"
"Amblygobius_bynoensis","1301.5459","Amblygobius_bynoensis_A_2","YES"
"Amblygobius_decussatus","1491.854","Amblygobius_decussatus_A_1","YES"
"Amblygobius_nocturnus","1213.3569","Amblygobius_nocturnus_A_2","YES"
"Amblygobius_phalaena","1594.4556","Amblygobius_phalaena_A_2","NO"
"Amblyrhynchotes_honckenii","1424.1896","Amblyrhynchotes_honckenii_A_2","YES"
