"sp_name","esthe_score","file_name","copyright","kingdom","phylum","class","order","family","genus"
"Chaetodon striatus",1686.8851,"Chaetodon_striatus_A_2","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Chaetodon"
"Chaetodon triangulum",1718.9442,"Chaetodon_triangulum_A_2","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Chaetodon"
"Chaetodon trichrous",1550.2726,"Chaetodon_trichrous_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Chaetodon"
"Chaetodon tricinctus",1768.6609,"Chaetodon_tricinctus_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Chaetodon"
"Chaetodon trifascialis",1732.3347,"Chaetodon_trifascialis_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Chaetodon"
"Chaetodon trifasciatus",1787.5977,"Chaetodon_trifasciatus_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Chaetodon"
"Chaetodon ulietensis",1637.1733,"Chaetodon_ulietensis_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Chaetodon"
"Chaetodon unimaculatus",1626.818,"Chaetodon_unimaculatus_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Chaetodon"
"Chaetodon vagabundus",1665.6663,"Chaetodon_vagabundus_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Chaetodon"
"Chaetodon wiebeli",1491.1592,"Chaetodon_wiebeli_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Chaetodon"
"Chaetodon xanthocephalus",1701.9031,"Chaetodon_xanthocephalus_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Chaetodon"
"Chaetodon xanthurus",1734.3584,"Chaetodon_xanthurus_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Chaetodon"
"Chaetodon zanzibarensis",1685.2375,"Chaetodon_zanzibarensis_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Chaetodon"
"Chaetodontoplus conspicillatus",1714.4263,"Chaetodontoplus_conspicillatus_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Pomacanthidae","Chaetodontoplus"
"Chaetodontoplus duboulayi",1702.0342,"Chaetodontoplus_duboulayi_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Pomacanthidae","Chaetodontoplus"
"Chaetodontoplus meredithi",1661.3727,"Chaetodontoplus_meredithi_J_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Pomacanthidae","Chaetodontoplus"
"Chaetodontoplus mesoleucus",1527.2556,"Chaetodontoplus_mesoleucus_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Pomacanthidae","Chaetodontoplus"
"Chaetodontoplus personifer",1644.3337,"Chaetodontoplus_personifer_A_2","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Pomacanthidae","Chaetodontoplus"
"Chaetodontoplus septentrionalis",2045.2472,"Chaetodontoplus_septentrionalis_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Pomacanthidae","Chaetodontoplus"
"Chaetodontoplus vanderloosi",1520.1295,"Chaetodontoplus_vanderloosi_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Pomacanthidae","Chaetodontoplus"
"Champsocephalus esox",1287.6597,"Champsocephalus_esox_A_1","YES","Animalia","Chordata","Actinopteri","Perciformes","Channichthyidae","Champsocephalus"
"Chanos chanos",1280.308,"Chanos_chanos_A_1","YES","Animalia","Chordata","Actinopteri","Gonorynchiformes","Chanidae","Chanos"
"Cheilinus abudjubbe",1580.4581,"Cheilinus_abudjubbe_A_2","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Cheilinus"
"Cheilinus chlorourus",1444.7927,"Cheilinus_chlorourus_A_3","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Cheilinus"
"Cheilinus fasciatus",1556.1812,"Cheilinus_fasciatus_A_2","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Cheilinus"
"Cheilinus lunulatus",1427.1069,"Cheilinus_lunulatus_M_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Cheilinus"
"Cheilinus oxycephalus",1529.6621,"Cheilinus_oxycephalus_A_2","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Cheilinus"
"Cheilinus trilobatus",1526.0945,"Cheilinus_trilobatus_A_3","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Cheilinus"
"Cheilinus undulatus",1559.1982,"Cheilinus_undulatus_J_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Cheilinus"
"Cheilio inermis",1391.8492,"Cheilio_inermis_M_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Cheilio"
"Cheilodactylus ephippium",1460.1366,"Cheilodactylus_ephippium_A_1","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Cheilodactylidae","Cheilodactylus"
"Cheilodactylus fasciatus",1361.9814,"Cheilodactylus_fasciatus_A_1","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Cheilodactylidae","Cheilodactylus"
"Cheilodactylus francisi",1444.124,"Cheilodactylus_francisi_A_2","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Cheilodactylidae","Cheilodactylus"
"Cheilodactylus fuscus",1451.7168,"Cheilodactylus_fuscus_A_1","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Cheilodactylidae","Cheilodactylus"
"Cheilodactylus gibbosus",1584.718,"Cheilodactylus_gibbosus_A_3","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Cheilodactylidae","Cheilodactylus"
"Cheilodactylus nigripes",1470.3142,"Cheilodactylus_nigripes_J_1","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Cheilodactylidae","Cheilodactylus"
"Cheilodactylus pixi",1345.314,"Cheilodactylus_pixi_J_1","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Cheilodactylidae","Cheilodactylus"
"Cheilodactylus plessisi",1418.1904,"Cheilodactylus_plessisi_A_1","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Cheilodactylidae","Cheilodactylus"
"Cheilodactylus rubrolabiatus",1542.3389,"Cheilodactylus_rubrolabiatus_A_2","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Cheilodactylidae","Cheilodactylus"
"Cheilodactylus spectabilis",1461.3306,"Cheilodactylus_spectabilis_A_2","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Cheilodactylidae","Cheilodactylus"
"Cheilodactylus vestitus",1541.9324,"Cheilodactylus_vestitus_A_2","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Cheilodactylidae","Cheilodactylus"
"Cheilodactylus zebra",1497.7148,"Cheilodactylus_zebra_A_1","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Cheilodactylidae","Cheilodactylus"
"Cheilodactylus zonatus",1507.2307,"Cheilodactylus_zonatus_A_2","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Cheilodactylidae","Cheilodactylus"
"Cheilodipterus arabicus",1340.1165,"Cheilodipterus_arabicus_A_2","NO","Animalia","Chordata","Actinopteri","Kurtiformes","Apogonidae","Cheilodipterus"
"Cheilodipterus artus",1301.8433,"Cheilodipterus_artus_A_3","NO","Animalia","Chordata","Actinopteri","Kurtiformes","Apogonidae","Cheilodipterus"
"Cheilodipterus intermedius",1296.5647,"Cheilodipterus_intermedius_A_1","YES","Animalia","Chordata","Actinopteri","Kurtiformes","Apogonidae","Cheilodipterus"
"Cheilodipterus isostigmus",1345.9993,"Cheilodipterus_isostigmus_A_2","YES","Animalia","Chordata","Actinopteri","Kurtiformes","Apogonidae","Cheilodipterus"
"Cheilodipterus lachneri",1355.42,"Cheilodipterus_lachneri_A_1","NO","Animalia","Chordata","Actinopteri","Kurtiformes","Apogonidae","Cheilodipterus"
"Cheilodipterus macrodon",1451.4722,"Cheilodipterus_macrodon_A_1","YES","Animalia","Chordata","Actinopteri","Kurtiformes","Apogonidae","Cheilodipterus"
"Cheilodipterus nigrotaeniatus",1394.1162,"Cheilodipterus_nigrotaeniatus_A_2","YES","Animalia","Chordata","Actinopteri","Kurtiformes","Apogonidae","Cheilodipterus"
"Cheilodipterus parazonatus",1309.968,"Cheilodipterus_parazonatus_A_1","YES","Animalia","Chordata","Actinopteri","Kurtiformes","Apogonidae","Cheilodipterus"
"Cheilodipterus quinquelineatus",1413.962,"Cheilodipterus_quinquelineatus_A_1","YES","Animalia","Chordata","Actinopteri","Kurtiformes","Apogonidae","Cheilodipterus"
"Cheiloprion labiatus",1677.394,"Cheiloprion_labiatus_J_2","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Cheiloprion"
"Chelidonichthys capensis",1347.2104,"Chelidonichthys_capensis_A_1","YES","Animalia","Chordata","Actinopteri","Perciformes","Triglidae","Chelidonichthys"
"Chelmon marginalis",1795.8562,"Chelmon_marginalis_A_2","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Chelmon"
"Chelmon rostratus",1764.8833,"Chelmon_rostratus_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Chelmon"
"Chelmonops curiosus",1759.8583,"Chelmonops_curiosus_A_2","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Chelmonops"
"Chelmonops truncatus",1717.2185,"Chelmonops_truncatus_A_2","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Chelmonops"
"Chelon auratus",1232.0342,"Chelon_auratus_A_2","NO","Animalia","Chordata","Actinopteri","Mugiliformes","Mugilidae","Chelon"
"Chelon labrosus",1219.3625,"Chelon_labrosus_A_1","NO","Animalia","Chordata","Actinopteri","Mugiliformes","Mugilidae","Chelon"
"Chelon ramada",1128.7653,"Chelon_ramada_A_1","NO","Animalia","Chordata","Actinopteri","Mugiliformes","Mugilidae","Chelon"
"Chelon richardsonii",1197.0253,"Chelon_richardsonii_A_1","YES","Animalia","Chordata","Actinopteri","Mugiliformes","Mugilidae","Chelon"
"Chelonodon pleurospilus",1420.9857,"Chelonodon_pleurospilus_A_2","NO","Animalia","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Chelonodon"
"Chilomycterus antennatus",1513.525,"Chilomycterus_antennatus_A_1","NO","Animalia","Chordata","Actinopteri","Tetraodontiformes","Diodontidae","Chilomycterus"
"Chilomycterus reticulatus",1418.585,"Chilomycterus_reticulatus_A_2","YES","Animalia","Chordata","Actinopteri","Tetraodontiformes","Diodontidae","Chilomycterus"
"Chirodactylus brachydactylus",1219.6329,"Chirodactylus_brachydactylus_A_1","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Cheilodactylidae","Chirodactylus"
"Chirolophis ascanii",1275.991,"Chirolophis_ascanii_A_2","YES","Animalia","Chordata","Actinopteri","Perciformes","Stichaeidae","Chirolophis"
"Chironemus maculosus",1407.9768,"Chironemus_maculosus_A_3","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Chironemidae","Chironemus"
"Chironemus marmoratus",1368.8438,"Chironemus_marmoratus_J_2","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Chironemidae","Chironemus"
"Chironemus microlepis",1448.788,"Chironemus_microlepis_A_1","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Chironemidae","Chironemus"
"Chlorurus atrilunula",1644.0912,"Chlorurus_atrilunula_M_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Chlorurus"
"Chlorurus bleekeri",1720.4546,"Chlorurus_bleekeri_A_1","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Chlorurus"
"Chlorurus bowersi",1817.583,"Chlorurus_bowersi_A_1","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Chlorurus"
"Chlorurus capistratoides",1563.1943,"Chlorurus_capistratoides_M_1","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Chlorurus"
"Chlorurus frontalis",1575.8042,"Chlorurus_frontalis_A_2","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Chlorurus"
"Chlorurus gibbus",1713.339,"Chlorurus_gibbus_M_2","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Chlorurus"
"Chlorurus japanensis",1595.8146,"Chlorurus_japanensis_M_2","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Chlorurus"
"Chlorurus microrhinos",1677.044,"Chlorurus_microrhinos_M_3","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Chlorurus"
"Chlorurus rhakoura",1351.505,"Chlorurus_rhakoura_A_2","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Chlorurus"
"Chlorurus sordidus",1706.5239,"Chlorurus_sordidus_M_2","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Chlorurus"
"Chlorurus spilurus",1672.6848,"Chlorurus_spilurus_M_2","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Chlorurus"
"Chlorurus strongylocephalus",1673.0636,"Chlorurus_strongylocephalus_M_2","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Chlorurus"
"Choerodon anchorago",1500.608,"Choerodon_anchorago_M_1","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Choerodon"
"Choerodon azurio",1542.1039,"Choerodon_azurio_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Choerodon"
"Choerodon cauteroma",1637.24,"Choerodon_cauteroma_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Choerodon"
"Choerodon cephalotes",1520.2937,"Choerodon_cephalotes_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Choerodon"
"Choerodon cyanodus",1359.1636,"Choerodon_cyanodus_A_2","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Choerodon"
"Choerodon fasciatus",1638.8665,"Choerodon_fasciatus_M_1","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Choerodon"
"Choerodon graphicus",1513.83673106666,"Choerodon_graphicus_143","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Choerodon"
"Choerodon jordani",1402.9309,"Choerodon_jordani_M_2","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Choerodon"
"Choerodon monostigma",1393.3354,"Choerodon_monostigma_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Choerodon"
"Choerodon rubescens",1291.4316,"Choerodon_rubescens_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Choerodon"
"Choerodon schoenleinii",1631.8512,"Choerodon_schoenleinii_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Choerodon"
"Choerodon vitta",1324.3638,"Choerodon_vitta_J_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Choerodon"
"Chriolepis dialepta",1436.0842,"Chriolepis_dialepta_M_1","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Chriolepis"
"Chromis abrupta",1377.3329,"Chromis_abrupta_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis acares",1394.925,"Chromis_acares_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis agilis",1433.8354,"Chromis_agilis_J_1","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis alpha",1314.0322,"Chromis_alpha_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis alta",1618.6086,"Chromis_alta_J_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis amboinensis",1444.0398,"Chromis_amboinensis_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis analis",1706.6132,"Chromis_analis_A_3","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis atrilobata",1295.4648,"Chromis_atrilobata_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis atripectoralis",1553.55597624497,"Chromis_atripectoralis_46","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis atripes",1320.4679,"Chromis_atripes_A_3","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis bami",1377.2097,"Chromis_bami_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis caudalis",1350.0824,"Chromis_caudalis_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis chromis",1498.6171,"Chromis_chromis_J_2","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis chrysura",1508.2728,"Chromis_chrysura_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis cinerascens",1332.4675,"Chromis_cinerascens_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis crusma",1338.4727,"Chromis_crusma_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis cyanea",1618.942,"Chromis_cyanea_J_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis dimidiata",1533.4419,"Chromis_dimidiata_A_3","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis dispilus",1263.1292,"Chromis_dispilus_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis elerae",1296.6583,"Chromis_elerae_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis flavaxilla",1341.6667,"Chromis_flavaxilla_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis flavipectoralis",1411.8029,"Chromis_flavipectoralis_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis flavomaculata",1366.9744,"Chromis_flavomaculata_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis fumea",1389.897,"Chromis_fumea_A_1","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis hanui",1454.3499,"Chromis_hanui_A_1","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis hypsilepis",1443.914,"Chromis_hypsilepis_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis insolata",1489.0419,"Chromis_insolata_J_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis iomelas",1532.439,"Chromis_iomelas_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis klunzingeri",1429.3628,"Chromis_klunzingeri_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis lepidolepis",1382.0997,"Chromis_lepidolepis_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis limbata",1466.4977,"Chromis_limbata_M_1","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis limbaughi",1584.9899,"Chromis_limbaughi_J_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis lineata",1372.7664,"Chromis_lineata_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis margaritifer",1406.2168,"Chromis_margaritifer_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis multilineata",1267.8181,"Chromis_multilineata_A_3","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis nigrura",1440.9421,"Chromis_nigrura_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis nitida",1577.246,"Chromis_nitida_A_2","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis notata",1376.2881,"Chromis_notata_A_1","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis opercularis",1323.4976,"Chromis_opercularis_J_2","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis ovalis",1373.7494,"Chromis_ovalis_J_1","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis pamae",1254.7921,"Chromis_pamae_A_2","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis pelloura",1436.7092,"Chromis_pelloura_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis pembae",1418.9695,"Chromis_pembae_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis punctipinnis",1295.1836,"Chromis_punctipinnis_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis randalli",1372.8376,"Chromis_randalli_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis retrofasciata",1507.4316,"Chromis_retrofasciata_A_2","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis scotochiloptera",1307.3425,"Chromis_scotochiloptera_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis scotti",1701.312,"Chromis_scotti_J_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis ternatensis",1422.998,"Chromis_ternatensis_A_1","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis vanderbilti",1518.9359,"Chromis_vanderbilti_A_1","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis viridis",1589.5834,"Chromis_viridis_M_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis weberi",1317.53593143744,"Chromis_weberi_51","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis westaustralis",1218.7261,"Chromis_westaustralis_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis xanthochira",1458.495,"Chromis_xanthochira_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis xanthura",1390.0532,"Chromis_xanthura_J_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chromis xutha",1255.3115,"Chromis_xutha_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis"
"Chrysiptera biocellata",1719.7556,"Chrysiptera_biocellata_J_1","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chrysiptera"
"Chrysiptera bleekeri",1555.2968,"Chrysiptera_bleekeri_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chrysiptera"
"Chrysiptera brownriggii",1626.826,"Chrysiptera_brownriggii_J_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chrysiptera"
"Chrysiptera caesifrons",1497.7561,"Chrysiptera_caesifrons_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chrysiptera"
"Chrysiptera cyanea",1732.467,"Chrysiptera_cyanea_M_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chrysiptera"
"Chrysiptera flavipinnis",1639.9517,"Chrysiptera_flavipinnis_A_3","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chrysiptera"
"Chrysiptera galba",1530.9471,"Chrysiptera_galba_A_3","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chrysiptera"
"Chrysiptera glauca",1695.7112,"Chrysiptera_glauca_A_1","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chrysiptera"
"Chrysiptera hemicyanea",1742.4532,"Chrysiptera_hemicyanea_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chrysiptera"
"Chrysiptera notialis",1239.9308,"Chrysiptera_notialis_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chrysiptera"
"Chrysiptera oxycephala",1415.4214,"Chrysiptera_oxycephala_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chrysiptera"
"Chrysiptera parasema",1808.5242,"Chrysiptera_parasema_A_2","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chrysiptera"
"Chrysiptera rapanui",1516.8623,"Chrysiptera_rapanui_A_1","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chrysiptera"
"Chrysiptera rex",1477.9634,"Chrysiptera_rex_A_3","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chrysiptera"
"Chrysiptera rollandi",1508.4062,"Chrysiptera_rollandi_J_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chrysiptera"
"Chrysiptera springeri",1776.1243,"Chrysiptera_springeri_J_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chrysiptera"
"Chrysiptera starcki",1643.562,"Chrysiptera_starcki_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chrysiptera"
"Chrysiptera talboti",1423.06,"Chrysiptera_talboti_A_3","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chrysiptera"
"Chrysiptera taupou",1674.3145,"Chrysiptera_taupou_A_3","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chrysiptera"
