"sp_name","esthe_score","file_name","copyright","kingdom","phylum","class","order","family","genus"
"Acanthurus achilles",1564.5798,"Acanthurus_achilles_A_1",NA,"Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus albipectoralis",1454.019,"Acanthurus_albipectoralis_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus auranticavus",1475.0842,"Acanthurus_auranticavus_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus bahianus",1804.743,"Acanthurus_bahianus_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus bariene",1639.583,"Acanthurus_bariene_A_2","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus blochii",1682.147,"Acanthurus_blochii_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus chirurgus",1530.2114,"Acanthurus_chirurgus_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus chronixis",1493.023,"Acanthurus_chronixis_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus coeruleus",1808.11,"Acanthurus_coeruleus_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus dussumieri",1591.272,"Acanthurus_dussumieri_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus fowleri",1586.1997,"Acanthurus_fowleri_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus gahhm",1459.8541,"Acanthurus_gahhm_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus grammoptilus",1640.4786,"Acanthurus_grammoptilus_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus guttatus",1604.0798,"Acanthurus_guttatus_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus leucocheilus",1572.432,"Acanthurus_leucocheilus_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus leucopareius",1469.2407,"Acanthurus_leucopareius_A_2","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus leucosternon",1870.82,"Acanthurus_leucosternon_A_2","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus lineatus",1917.0204,"Acanthurus_lineatus_A_2","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus maculiceps",1607.5024,"Acanthurus_maculiceps_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus mata",1683.412,"Acanthurus_mata_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus nigricans",1709.461,"Acanthurus_nigricans_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus nigricauda",1370.9316,"Acanthurus_nigricauda_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus nigrofuscus",1562.6637,"Acanthurus_nigrofuscus_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus nigroris",1560.4371,"Acanthurus_nigroris_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus nubilus",1550.6538,"Acanthurus_nubilus_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus olivaceus",1649.809,"Acanthurus_olivaceus_J_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus pyroferus",1665.0464,"Acanthurus_pyroferus_J_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus reversus",1583.5986,"Acanthurus_reversus_J_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus sohal",1698.0228,"Acanthurus_sohal_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus tennentii",1662.25041852688,"Acanthurus_tennentii_8","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus thompsoni",1360.3678,"Acanthurus_thompsoni_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus triostegus",1601.775,"Acanthurus_triostegus_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus tristis",1478.122,"Acanthurus_tristis_J_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Acanthurus xanthopterus",1486.7289,"Acanthurus_xanthopterus_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus"
"Achoerodus gouldii",1513.0717,"Achoerodus_gouldii_A_1","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Achoerodus"
"Achoerodus viridis",1510.3435,"Achoerodus_viridis_M_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Achoerodus"
"Aetapcus maculatus",1470.3533,"Aetapcus_maculatus_A_2","YES","Animalia","Chordata","Actinopteri","Perciformes","Pataecidae","Aetapcus"
"Aethaloperca rogaa",1588.5294,"Aethaloperca_rogaa_A_2","YES","Animalia","Chordata","Actinopteri","Perciformes","Serranidae","Aethaloperca"
"Afurcagobius tamarensis",1368.8524,"Afurcagobius_tamarensis_A_2","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Afurcagobius"
"Aioliops brachypterus",1476.381,"Aioliops_brachypterus_A_1","YES","Animalia","Chordata","Actinopteri","Perciformes","Microdesmidae","Aioliops"
"Aioliops novaeguineae",1254.8787,"Aioliops_novaeguineae_A_1","YES","Animalia","Chordata","Actinopteri","Perciformes","Microdesmidae","Aioliops"
"Albula glossodonta",1237.746,"Albula_glossodonta_A_1","NO","Animalia","Chordata","Actinopteri","Albuliformes","Albulidae","Albula"
