"max_length","trophic_level","thermal_mp_5min_95max","thermal_95thmax","trophic_group","water_column","diel_activity","habitat","sp_name"
100,3.7,19.6225,24.56,"benthic invertivore","demersal","day","rock","Achoerodus viridis"
22,3.5,16.8675,22.114,"benthic invertivore","benthic","day","rock","Aetapcus maculatus"
60,4.2,27.56155,31.647,"higher carnivore","demersal","day","coral","Aethaloperca rogaa"
11,3.3,16.1155,21.221,"benthic invertivore","benthic","day","sand","Afurcagobius tamarensis"
13.1549277095665,3.29247422561194,30.5165,31.176,"planktivore","benthic","day","sand","Aioliops novaeguineae"
150,3.8,23.9744,31.1789,"higher carnivore","pelagic non-site attached","day","water column","Alectis ciliaris"
165,4.09882475330289,24.7634558342676,29.918451015842,"higher carnivore","benthic","day","sand","Alectis indica"
10,3.5,17.67565,22.0513,"benthic invertivore","benthic","day","rock","Alloclinus holderi"
30,3.5,25.322725,30.19645,"benthic invertivore","demersal","day","coral","Alphestes immaculatus"
110,2.8,26.1065,31.647,"omnivore","demersal","day","coral","Aluterus scriptus"
20,2.9,26.3882,31.382,"omnivore","demersal","day","coral","Amanses scopas"
7,3.1,17.72095,23.027,"planktivore","pelagic site attached","night","sand","Ambassis jacksoniensis"
8.5,3.5,26.73645,30.5928,"benthic invertivore","benthic","day","coral","Amblycirrhitus bimacula"
9.5,3.2,27.008,30.244,"benthic invertivore","benthic","day","coral","Amblycirrhitus pinos"
8,3.3,27.4312,30.42765,"benthic invertivore","benthic","day","sand","Amblyeleotris fasciata"
11,3.4,27.1755,30.59,"benthic invertivore","benthic","day","sand","Amblyeleotris guttata"
14,3.4,26.56525,31.64625,"benthic invertivore","benthic","day","sand","Amblyeleotris gymnocephala"
7.4,3.3,23.230375,31.136,"benthic invertivore","benthic","day","sand","Amblyeleotris japonica"
11,3.4,26.7289,30.2238,"benthic invertivore","benthic","day","sand","Amblyeleotris periophthalma"
13,3.4,27.714,31.223,"benthic invertivore","benthic","day","sand","Amblyeleotris steinitzi"
10,2.83028690509739,24.842275,28.62175,"browsing herbivore","benthic","day","sand","Amblyeleotris sungami"
10,3.4,27.045,31.419,"benthic invertivore","benthic","day","sand","Amblyeleotris wheeleri"
13,2.7,27.856475,31.346,"omnivore","demersal","day","coral","Amblyglyphidodon aureus"
10,2.7,29.408,30.95,"omnivore","demersal","day","coral","Amblyglyphidodon batunai"
11,2.6,26.8,31.224,"omnivore","demersal","day","coral","Amblyglyphidodon curacao"
10,2.7,25.863,30.681,"omnivore","demersal","day","coral","Amblyglyphidodon flavilatus"
8.3,2.7,27.028,33.011,"omnivore","demersal","day","coral","Amblyglyphidodon indicus"
13,3.4,27.43,31.346,"omnivore","demersal","day","coral","Amblyglyphidodon leucogaster"
10.1,2.7,26.00245,29.021,"omnivore","demersal","day","coral","Amblyglyphidodon melanopterus"
8.3,2.7,29.0864,30.292,"browsing herbivore","demersal","day","coral","Amblyglyphidodon orbicularis"
10,2.7,27.0695,31.344,"omnivore","demersal","day","coral","Amblyglyphidodon ternatensis"
8,2.7760192211264,29.916125,31.176,"browsing herbivore","benthic","day","sand","Amblygobius buanensis"
10,2.7,28.1508,31.2166,"omnivore","benthic","day","sand","Amblygobius bynoensis"
9.5,2.7,26.71155,31.07,"omnivore","benthic","day","sand","Amblygobius decussatus"
10,2.7,24.7465,30.581,"omnivore","benthic","day","sand","Amblygobius nocturnus"
15,2.7,25.197,31.263,"omnivore","benthic","day","sand","Amblygobius phalaena"
30,3.3,19.575,22.345,"benthic invertivore","demersal","day","sand","Amblyrhynchotes honckenii"
20,3.1,10.4677,20.0086,"planktivore","benthic","day","sand","Ammodytes tobianus"
20,2.8,20.6858,24.92,"benthic invertivore","demersal","day","coral","Amphichaetodon howensis"
40,3.71057126300307,20.0152643821026,24.0731938894683,"benthic invertivore","benthic","night","rock","Amphichthys cryptocentrus"
11,2.7,28.59855,32.205,"omnivore","demersal","day","coral","Amphiprion akallopisos"
9,2.7,24.826,29.866,"omnivore","demersal","day","coral","Amphiprion akindynos"
15,2.7,28.55425,32.821,"omnivore","demersal","day","coral","Amphiprion allardi"
14,2.7,25.6795,30.314,"omnivore","demersal","day","coral","Amphiprion bicinctus"
17,2.8,26.78945,31.465,"omnivore","demersal","day","coral","Amphiprion chrysopterus"
15,2.9,24.124625,32.17325,"planktivore","demersal","day","coral","Amphiprion clarkii"
14,2.7,30.046,31.8758,"omnivore","demersal","day","coral","Amphiprion ephippium"
14,2.8,25.493,31.21905,"omnivore","demersal","day","coral","Amphiprion frenatus"
14,2.7,29.227,33.011,"browsing herbivore","demersal","day","coral","Amphiprion fuscocaudatus"
14,2.7,22.419,26.18,"omnivore","demersal","day","coral","Amphiprion latezonatus"
9,2.7,29.521025,31.50985,"browsing herbivore","demersal","day","coral","Amphiprion leucokranos"
12,2.7,22.11515,25.0993,"omnivore","demersal","day","coral","Amphiprion mccullochi"
12,2.8,25.23925,30.5295,"omnivore","demersal","day","coral","Amphiprion melanopus"
11,2.7,29.47805,30.8909,"browsing herbivore","demersal","day","coral","Amphiprion nigripes"
11,3,28.09535,31.778,"omnivore","demersal","day","coral","Amphiprion ocellaris"
11,2.7,26.7046,31.0992,"omnivore","demersal","day","coral","Amphiprion percula"
10,2.6,27.448925,31.47,"omnivore","demersal","day","coral","Amphiprion perideraion"
12,2.6,27.34815,32.352,"omnivore","demersal","day","coral","Amphiprion rubrocinctus"
14,2.7,29.031825,31.0819,"omnivore","demersal","day","coral","Amphiprion sandaracinos"
42,3.3,24.412,30.903,"benthic invertivore","demersal","day","coral","Anampses caeruleopunctatus"
31,3.4,25.752,27.015,"benthic invertivore","demersal","day","coral","Anampses cuvier"
30,3.5,21.59,25.138,"benthic invertivore","demersal","day","coral","Anampses elegans"
24,3.5,23.510625,27.89025,"benthic invertivore","demersal","day","coral","Anampses femininus"
31,3.2,23.5879,29.4198,"benthic invertivore","demersal","day","coral","Anampses geographicus"
28,3.5,26.90125,31.495,"benthic invertivore","demersal","day","coral","Anampses lennardi"
13,3.4,24.45625,32.81075,"benthic invertivore","demersal","day","coral","Anampses lineatus"
12,3.4,26.67965,29.39985,"benthic invertivore","demersal","day","coral","Anampses melanurus"
22,3.5,27.218,33.011,"benthic invertivore","demersal","day","coral","Anampses meleagrides"
20,3.5,24.472,29.813,"benthic invertivore","demersal","day","coral","Anampses neoguinaicus"
18,3.5,27.0252,31.2104,"benthic invertivore","demersal","day","coral","Anampses twistii"
240,3.5,16.4587,29.725,"benthic invertivore","benthic","day","rock","Anarrhichthys ocellatus"
30,3.4,26.5315,30.245,"benthic invertivore","demersal","night","coral","Anisotremus caesius"
46.4841790120762,4.09591363429981,22.6405,29.254,"higher carnivore","benthic","day","rock","Anisotremus davidsonii"
51,3.5,25.3245,30.2,"benthic invertivore","demersal","night","coral","Anisotremus interruptus"
40,3.3,23.1575,26.17,"benthic invertivore","demersal","night","coral","Anisotremus scapularis"
76,3.3,26.697975,30.76685,"benthic invertivore","demersal","night","coral","Anisotremus surinamensis"
31,4.2,25.736375,30.22575,"benthic invertivore","demersal","night","coral","Anisotremus taeniatus"
40.6,3.4,26.657,31.063,"benthic invertivore","demersal","night","coral","Anisotremus virginicus"
39,3.3,20.03635,23.779,"benthic invertivore","demersal","day","rock","Anoplocapros amygdaloides"
37,3.4,19.9155,24.56,"benthic invertivore","demersal","day","rock","Anoplocapros inermis"
33,3.3,18.536,23.731,"benthic invertivore","demersal","day","rock","Anoplocapros lenticularis"
65,3.9,28.971,33.011,"higher carnivore","demersal","day","coral","Anyperodon leucogrammicus"
70,4.1,26.8855,30.674,"higher carnivore","demersal","day","coral","Aphareus furca"
70,4.1,20.9657,31.207,"higher carnivore","demersal","day","rock","Aphareus rutilans"
23,3.4,17.312,23.062,"benthic invertivore","benthic","day","rock","Aploactisoma milesii"
65,2,16.3295,21.512,"browsing herbivore","demersal","day","rock","Aplodactylus arctidens"
45,2,21.115725,24.92,"browsing herbivore","demersal","day","rock","Aplodactylus etheridgii"
45,2,18.6715,23.239,"browsing herbivore","demersal","day","rock","Aplodactylus lophodon"
63,2,19.7295,23.261,"browsing herbivore","demersal","day","rock","Aplodactylus westralis"
10.15238095,3.490581286,27.667225,30.46675,"benthic invertivore","pelagic site attached","night","coral","Ostorhinchus apogonoides"
8.9,3.5,25.0995,29.75,"benthic invertivore","pelagic site attached","night","coral","Apogon atradorsatus"
8,3.5,28.278,29.75,"benthic invertivore","pelagic site attached","night","coral","Apogon atricaudus"
13,3.4,27.204,30.636,"benthic invertivore","pelagic site attached","night","coral","Apogon binotatus"
5.8,3.4,24.22825,29.9584,"benthic invertivore","pelagic site attached","night","coral","Ostorhinchus capricornis"
12,3.6,29.1024,30.51705,"benthic invertivore","pelagic site attached","night","coral","Ostorhinchus chrysotaenia"
14,3.6,23.2935,31.144,"benthic invertivore","pelagic site attached","night","coral","Ostorhinchus doederleini"
7.5,3.4,27.870325,30.292,"benthic invertivore","pelagic site attached","night","coral","Apogon dovii"
10.3,3.6,20.3524,24.2958,"benthic invertivore","pelagic site attached","night","rock","Ostorhinchus fasciatus"
9.6,3.6,21.996,24.92,"benthic invertivore","pelagic site attached","night","coral","Ostorhinchus flavus"
15,3.9,19.786,26.85,"planktivore","pelagic site attached","night","rock","Apogon imberbis"
6.5,3.4,27.008,30.244,"benthic invertivore","pelagic site attached","night","coral","Apogon lachneri"
14,3.6,20.781,26.18,"benthic invertivore","pelagic site attached","night","rock","Ostorhinchus limenus"
11.1,3.5,23.7445,30.4535,"benthic invertivore","pelagic site attached","night","coral","Apogon maculatus"
10,3.5,30.026125,30.8151,"benthic invertivore","pelagic site attached","night","coral","Ostorhinchus multilineatus"
15,3.5,21.9185,25.138,"benthic invertivore","pelagic site attached","night","coral","Ostorhinchus norfolcensis"
10,3.5,23.2895,31.136,"benthic invertivore","pelagic site attached","night","rock","Ostorhinchus notatus"
10,3.4,22.0739,30.2368,"benthic invertivore","pelagic site attached","night","coral","Apogon pacificus"
10,3.5,27.846,30.859,"benthic invertivore","pelagic site attached","night","coral","Apogon retrosella"
