"SurveyID" "SiteLongitude" "SiteLatitude" "SiteCode" "PC1_imputation" "PC2_imputation" "PC3_imputation"
"1" 1003278 -81.11185 24.62529 "USEC4" 0.170948724396546 -0.0724775334874381 -0.0512695397717011
"2" 1003280 -81.109328 24.625624 "USEC6" 0.00691245547980429 -0.00212348911865585 -0.106973507568395
"3" 1003281 -81.060967 24.69262 "USEC8" -0.454963120498491 0.143961894404511 -0.0721159573465326
"4" 1003282 -81.04805 24.70784 "USEC9" -0.293883362266572 0.196837208943903 -0.0973464036941579
"5" 1003283 -80.96287 24.68577 "USEC10" -0.00263081377081935 0.0240027848336096 0.167946697846744
"6" 1003284 -80.9645 24.68553 "USEC11" -0.0206875415473584 0.12698783701663 -0.0409030529238904
"7" 1003285 -81.41568 24.54062 "USEC12" -0.0706784620725796 0.0560087889318556 -0.122220745778983
"8" 1003286 -81.40591 24.54569 "USEC13" -0.183915057248164 0.0737624050045155 0.0949233529927038
"9" 1003287 -81.405235 24.546777 "USEC14" -0.131203702865941 0.147773994939307 -0.0165691267031314
"10" 1003288 -80.97067 24.68217 "USEC15" -0.160071336151163 0.137425625887877 0.00175272915128387
"11" 1003289 -81.02973 24.68975 "USEC16" -0.312091901280777 -0.177953593372341 0.0637700034988334
"12" 1003291 -81.09053 24.63217 "USEC17" -0.100401398626133 -0.0906798979306281 -0.152649993626521
"13" 1003292 -81.110531 24.62198 "USEC7" -0.205058019025995 -0.067065790205428 -0.150926087363414
"14" 1003629 -82.87406 24.609 "CAR2" -0.0641821000368209 0.00951528176279947 0.031652422237564
"15" 1003630 -82.87406 24.609 "CAR2" -0.432263819070614 0.0794179534034767 0.129304201145395
"16" 1003631 -82.86406 24.62056 "CAR1" -0.260784273548631 0.15432278054902 -0.125347993322063
"17" 1003632 -82.86406 24.62056 "CAR1" -0.254726650554349 0.0828452287408755 -0.0131760707289492
"18" 1003633 -82.94296 24.62429 "CAR3" -0.0849932081980629 0.230967023501813 0.0166042445158515
"19" 1003634 -82.94296 24.62429 "CAR3" -0.367448962942013 0.20113178014249 -0.308166448944857
"20" 1003635 -82.94296 24.62429 "CAR3" -0.245965586885947 0.127834150218494 -0.378816156180087
"21" 1003636 -82.94296 24.62429 "CAR3" -0.392709151232381 0.331012350284142 0.134990364055039
"22" 1003637 -81.38695 19.3066 "CAR4" -0.264872296634274 0.239728681899251 0.00147919920040487
"23" 1003638 -81.38695 19.3066 "CAR4" -0.229438453099028 -0.198324402982609 0.0677344445173929
"24" 1003639 -81.38695 19.3066 "CAR4" -0.285395288670299 0.17110520655154 -0.214896381045622
"25" 1003640 -81.36713 13.45645 "CAR6" 0.147207697641856 0.0478105246745556 0.290478472411774
"26" 1003641 -81.36453 13.45828 "CAR5" 0.133382653862889 0.260637511113483 0.198701178059818
"27" 1003642 -81.36453 13.45828 "CAR5" 0.130261571333813 0.0971485918954525 0.19382188861343
