"Importance","PriceCateg","UsedforAquaculture","UsedasBait","GameFish","sp_names_fishbase"
"commercial","medium","never/rarely","never/rarely",0,"Naso thynnoides"
"minor commercial","medium","never/rarely","never/rarely",0,"Naso tonganus"
NA,"medium","never/rarely","never/rarely",0,"Naso tuberosus"
"commercial","medium","never/rarely","never/rarely",1,"Naso unicornis"
"minor commercial","medium","never/rarely","never/rarely",0,"Naso vlamingii"
"minor commercial","medium","never/rarely","never/rarely",1,"Naucrates ductor"
NA,"unknown","never/rarely","never/rarely",0,"Neatypus obliquus"
NA,"high","never/rarely","never/rarely",0,"Nectamia bandanensis"
NA,NA,"never/rarely","never/rarely",0,"Nectamia similis"
"commercial","unknown","never/rarely","never/rarely",0,"Nelusetta ayraud"
"commercial","high","never/rarely","never/rarely",0,"Nemadactylus bergi"
"minor commercial","very high","never/rarely","never/rarely",0,"Nemadactylus douglasii"
"commercial","high","never/rarely","never/rarely",1,"Nemadactylus macropterus"
NA,"very high","never/rarely","never/rarely",0,"Nemadactylus valenciennesi"
"of no interest","unknown","never/rarely","never/rarely",0,"Nemateleotris magnifica"
NA,"unknown","never/rarely","never/rarely",0,"Neocirrhites armatus"
NA,"unknown","never/rarely","never/rarely",0,"Neoditrema ransonnetii"
NA,"unknown","never/rarely","never/rarely",0,"Neoglyphidodon bonang"
NA,"unknown","never/rarely","never/rarely",0,"Neoglyphidodon carlsoni"
NA,"unknown","never/rarely","never/rarely",0,"Neoglyphidodon crossi"
"of no interest","unknown","never/rarely","never/rarely",0,"Neoglyphidodon melas"
NA,"unknown","never/rarely","never/rarely",0,"Neoglyphidodon nigroris"
NA,"unknown","never/rarely","never/rarely",0,"Neoglyphidodon oxyodon"
NA,"unknown","never/rarely","never/rarely",0,"Neoglyphidodon polyacanthus"
NA,"unknown","never/rarely","never/rarely",0,"Neoglyphidodon thoracotaeniatus"
NA,"medium","never/rarely","never/rarely",0,"Neomyxus leuciscus"
NA,"medium","never/rarely","never/rarely",0,"Neoniphon argenteus"
"minor commercial","medium","never/rarely","never/rarely",0,"Neoniphon marianus"
"minor commercial","medium","never/rarely","never/rarely",0,"Neoniphon opercularis"
"minor commercial","medium","never/rarely","usually",0,"Neoniphon sammara"
"of no interest","unknown","never/rarely","never/rarely",0,"Neoodax balteatus"
NA,"unknown","never/rarely","never/rarely",0,"Neopomacentrus anabatoides"
NA,"unknown","never/rarely","never/rarely",0,"Neopomacentrus aquadulcis"
NA,"unknown","never/rarely","never/rarely",0,"Neopomacentrus azysron"
NA,"unknown","never/rarely","never/rarely",0,"Neopomacentrus bankieri"
"of no interest","unknown","never/rarely","never/rarely",0,"Neopomacentrus cyanomos"
NA,"unknown","never/rarely","never/rarely",0,"Neopomacentrus filamentosus"
NA,"unknown","never/rarely","never/rarely",0,"Neopomacentrus metallicus"
NA,"unknown","never/rarely","never/rarely",0,"Neopomacentrus miryae"
NA,"unknown","never/rarely","never/rarely",0,"Neopomacentrus nemurus"
NA,"unknown","never/rarely","never/rarely",0,"Neopomacentrus violascens"
NA,"unknown","never/rarely","never/rarely",0,"Neosebastes pandus"
NA,"unknown","never/rarely","never/rarely",0,"Neosebastes scorpaenoides"
NA,"very high","never/rarely","never/rarely",0,"Nesogobius hinsbyi"
NA,"very high","never/rarely","never/rarely",0,"Nesogobius pulchellus"
NA,"unknown","never/rarely","never/rarely",0,"Nexilosus latifrons"
"minor commercial","high","never/rarely","never/rarely",0,"Nicholsina denticulata"
NA,"unknown","never/rarely","never/rarely",0,"Notocirrhitus splendens"
"of no interest","unknown","never/rarely","never/rarely",0,"Notoclinops segmentatus"
"of no interest","unknown","never/rarely","never/rarely",0,"Notoclinops yaldwyni"
"of no interest","unknown","never/rarely","never/rarely",0,"Notoclinus fenestratus"
NA,"very high","never/rarely","never/rarely",0,"Notolabrus celidotus"
NA,"very high","never/rarely","never/rarely",0,"Notolabrus cinctus"
NA,"very high","never/rarely","never/rarely",0,"Notolabrus fucicola"
NA,"very high","never/rarely","never/rarely",0,"Notolabrus gymnogenis"
NA,"very high","never/rarely",NA,0,"Notolabrus inscriptus"
NA,"very high","never/rarely","never/rarely",0,"Notolabrus parilus"
NA,"very high","never/rarely","never/rarely",0,"Notolabrus tetricus"
"minor commercial","very high","never/rarely","never/rarely",0,"Novaculichthys taeniourus"
"commercial","very high","never/rarely","never/rarely",1,"Oblada melanura"
"commercial","medium","commercial","never/rarely",1,"Ocyurus chrysurus"
"minor commercial","unknown","never/rarely","never/rarely",0,"Odax cyanoallix"
"minor commercial","unknown","never/rarely","never/rarely",0,"Odax pullus"
"minor commercial","medium","never/rarely","never/rarely",0,"Odontoscion dentex"
NA,"medium","never/rarely","never/rarely",0,"Odontoscion eurymesops"
NA,"medium","never/rarely","never/rarely",0,"Odontoscion xanthops"
"minor commercial","medium","never/rarely","never/rarely",0,"Odonus niger"
"of no interest","unknown","never/rarely","never/rarely",0,"Ogcocephalus darwini"
NA,NA,"never/rarely","never/rarely",0,"Ogilbia cocoensis"
"of no interest","unknown","never/rarely","never/rarely",0,"Ogilbia galapagosensis"
NA,NA,"never/rarely","never/rarely",0,"Ogilbichthys ferocis"
NA,"unknown","never/rarely","never/rarely",0,"Ogilbyina novaehollandiae"
NA,"unknown","never/rarely","never/rarely",0,"Ogilbyina queenslandiae"
"of no interest","unknown","never/rarely","never/rarely",0,"Olisthops cyanomelas"
NA,"unknown","never/rarely","never/rarely",0,"Oman ypsilon"
"of no interest",NA,"never/rarely","never/rarely",0,"Omegophora armilla"
NA,"very high","never/rarely","never/rarely",0,"Omegophora cyanopunctata"
NA,"unknown","never/rarely","never/rarely",0,"Omobranchus aurosplendidus"
NA,"unknown","never/rarely","never/rarely",0,"Omobranchus germaini"
NA,"unknown","never/rarely","never/rarely",0,"Omobranchus mekranensis"
NA,"unknown","never/rarely","never/rarely",0,"Omobranchus smithi"
"of no interest","unknown","never/rarely",NA,0,"Ophioblennius atlanticus"
NA,NA,"never/rarely","never/rarely",0,"Ophioblennius clippertonensis"
"of no interest","unknown","never/rarely","never/rarely",0,"Ophioblennius steindachneri"
"commercial","low","never/rarely","never/rarely",1,"Ophiodon elongatus"
NA,"very high","never/rarely","never/rarely",0,"Ophthalmolepis lineolata"
NA,"unknown","never/rarely","never/rarely",0,"Opisthocentrus ocellatus"
NA,"unknown","never/rarely","never/rarely",0,"Opisthocentrus tenuis"
NA,"unknown","never/rarely","never/rarely",0,"Opisthocentrus zonope"
NA,"unknown","never/rarely","never/rarely",0,"Opistognathus aurifrons"
NA,"unknown","never/rarely","never/rarely",0,"Opistognathus darwiniensis"
NA,NA,"never/rarely","never/rarely",0,"Opistognathus randalli"
"commercial","unknown","never/rarely","never/rarely",1,"Oplegnathus conwayi"
NA,"unknown","never/rarely","never/rarely",0,"Oplegnathus insignis"
NA,NA,"never/rarely","never/rarely",0,"Optivus agastos"
NA,"low","never/rarely","never/rarely",0,"Orthonopias triacis"
NA,"medium","never/rarely","never/rarely",0,"Orthopristis forbesi"
NA,"high","never/rarely","never/rarely",0,"Ostorhinchus angustatus"
NA,"high","never/rarely","never/rarely",0,"Ostorhinchus apogonoides"
"minor commercial","high","never/rarely","never/rarely",0,"Ostorhinchus aureus"
NA,"high","never/rarely","never/rarely",0,"Ostorhinchus capricornis"
NA,"high","never/rarely","never/rarely",0,"Ostorhinchus chrysotaenia"
NA,"high","never/rarely","never/rarely",0,"Ostorhinchus compressus"
"of no interest",NA,"never/rarely","never/rarely",0,"Ostorhinchus cookii"
NA,"high","never/rarely","never/rarely",0,"Ostorhinchus cyanosoma"
NA,"high","never/rarely","never/rarely",0,"Ostorhinchus doederleini"
"of no interest",NA,"never/rarely","never/rarely",0,"Ostorhinchus fasciatus"
NA,"high","never/rarely","never/rarely",0,"Ostorhinchus flavus"
NA,"high","never/rarely","never/rarely",0,"Ostorhinchus limenus"
NA,"high","never/rarely","never/rarely",0,"Ostorhinchus luteus"
NA,"high","never/rarely","never/rarely",0,"Ostorhinchus multilineatus"
NA,"high","never/rarely","never/rarely",0,"Ostorhinchus nigrofasciatus"
NA,"high","never/rarely","never/rarely",0,"Ostorhinchus norfolcensis"
NA,"high",NA,NA,0,"Ostorhinchus notatus"
NA,"high","never/rarely","never/rarely",0,"Ostorhinchus parvulus"
NA,"high","never/rarely","never/rarely",0,"Ostorhinchus properuptus"
NA,"high","never/rarely","never/rarely",0,"Ostorhinchus rubrimacula"
NA,"high","never/rarely","never/rarely",0,"Ostorhinchus schlegeli"
NA,"high",NA,NA,0,"Ostorhinchus sealei"
" ","high","never/rarely","never/rarely",0,"Ostorhinchus urostigmus"
NA,"high","never/rarely","never/rarely",0,"Ostorhinchus victoriae"
NA,"high","never/rarely","never/rarely",0,"Ostorhinchus wassinki"
NA,NA,NA,NA,NA,"Ostracion cubicus"
NA,"high","never/rarely","never/rarely",0,"Ostracion cyanurus"
NA,NA,NA,NA,NA,"Ostracion immaculatus"
"subsistence fisheries","high","never/rarely","never/rarely",0,"Ostracion meleagris"
NA,NA,NA,NA,NA,"Ostracion solorensis"
"of no interest",NA,"never/rarely","never/rarely",0,"Ostracion whitleyi"
"minor commercial","very high","never/rarely","never/rarely",0,"Othos dentex"
NA,"unknown","never/rarely","never/rarely",0,"Oxycercichthys veliferus"
"subsistence fisheries","very high","never/rarely","never/rarely",0,"Oxycheilinus bimaculatus"
NA,"very high","never/rarely","never/rarely",0,"Oxycheilinus celebicus"
"minor commercial","very high","never/rarely","never/rarely",0,"Oxycheilinus digramma"
NA,"very high","never/rarely","never/rarely",0,"Oxycheilinus mentalis"
"minor commercial","very high","never/rarely","never/rarely",0,"Oxycheilinus orientalis"
"minor commercial","very high","never/rarely","never/rarely",0,"Oxycheilinus unifasciatus"
"of no interest","unknown","never/rarely","never/rarely",0,"Oxycirrhites typus"
NA,"very high","never/rarely","never/rarely",0,"Oxyjulis californica"
NA,"unknown","never/rarely","never/rarely",0,"Oxylebius pictus"
"of no interest","unknown","never/rarely","never/rarely",0,"Oxymonacanthus longirostris"
"commercial","very high","never/rarely","never/rarely",1,"Pachymetopon aeneum"
"commercial","very high","never/rarely","never/rarely",1,"Pachymetopon blochii"
"minor commercial","very high","never/rarely","usually",1,"Pachymetopon grande"
"commercial","medium","never/rarely","never/rarely",1,"Pagellus acarne"
"commercial","medium","never/rarely","never/rarely",1,"Pagellus erythrinus"
"commercial","very high","experimental","never/rarely",1,"Pagrus auratus"
"minor commercial","low","never/rarely","never/rarely",1,"Pagrus auriga"
"commercial","very high","commercial","never/rarely",1,"Pagrus pagrus"
"minor commercial","unknown","never/rarely","never/rarely",0,"Parablennius gattorugine"
NA,"unknown","never/rarely","never/rarely",0,"Parablennius incognitus"
NA,"unknown","never/rarely","never/rarely",0,"Parablennius intermedius"
NA,"unknown","never/rarely","never/rarely",0,"Parablennius laticlavius"
"of no interest","unknown","never/rarely","never/rarely",0,"Parablennius marmoreus"
NA,"unknown","never/rarely","never/rarely",0,"Parablennius pilicornis"
NA,"unknown","never/rarely","never/rarely",0,"Parablennius rouxi"
"minor commercial","unknown","never/rarely","never/rarely",0,"Parablennius sanguinolentus"
NA,"unknown","never/rarely","never/rarely",0,"Parablennius serratolineatus"
NA,"unknown","never/rarely","never/rarely",0,"Parablennius tasmanianus"
NA,"unknown","never/rarely","never/rarely",0,"Parablennius zvonimiri"
"commercial","very high","never/rarely","never/rarely",0,"Paracaesio xanthura"
NA,"medium","never/rarely","never/rarely",0,"Paracanthurus hepatus"
NA,"high","never/rarely","never/rarely",0,"Paracentropyge multifasciata"
"of no interest","unknown","never/rarely","never/rarely",0,"Parachaetodon ocellatus"
NA,"very high","never/rarely","never/rarely",0,"Paracheilinus cyaneus"
NA,"very high","never/rarely","never/rarely",0,"Paracheilinus octotaenia"
"of no interest","unknown","never/rarely","never/rarely",0,"Paracirrhites arcatus"
"minor commercial","unknown","never/rarely","never/rarely",0,"Paracirrhites forsteri"
NA,"unknown","never/rarely","never/rarely",0,"Paracirrhites hemistictus"
NA,"unknown","never/rarely","never/rarely",0,"Paracirrhites nisus"
NA,"unknown","never/rarely","never/rarely",0,"Paracirrhites xanthus"
NA,"unknown","never/rarely","never/rarely",0,"Paradiancistrus cuyoensis"
NA,"very high","never/rarely","never/rarely",0,"Paragobiodon echinocephalus"
NA,"very high","never/rarely","never/rarely",0,"Paragobiodon xanthosoma"
"commercial","very high","commercial","never/rarely",1,"Parajulis poecilepterus"
NA,"very high",NA,"never/rarely",0,"Paralabrax albomaculatus"
"minor commercial","very high","never/rarely","never/rarely",1,"Paralabrax auroguttatus"
"commercial","very high","never/rarely",NA,1,"Paralabrax clathratus"
"of no interest",NA,"never/rarely",NA,1,"Paralabrax maculatofasciatus"
NA,"very high","never/rarely",NA,1,"Paralabrax nebulifer"
NA,"unknown","never/rarely","never/rarely",0,"Paraluteres prionurus"
NA,"unknown","never/rarely","never/rarely",0,"Paramonacanthus japonicus"
"commercial","high","never/rarely","never/rarely",0,"Paranotothenia magellanica"
"subsistence fisheries","very high","never/rarely","usually",0,"Paranthias colonus"
"subsistence fisheries","very high","never/rarely","usually",0,"Paranthias furcifer"
NA,"unknown","never/rarely","never/rarely",0,"Parapercis australis"
NA,"unknown","never/rarely","never/rarely",0,"Parapercis clathrata"
"commercial","high","never/rarely","never/rarely",1,"Parapercis colias"
NA,"unknown","never/rarely","never/rarely",0,"Parapercis haackei"
"minor commercial","unknown","never/rarely","never/rarely",0,"Parapercis hexophtalma"
NA,NA,"never/rarely","never/rarely",0,"Parapercis lineopunctata"
NA,"unknown","never/rarely","never/rarely",0,"Parapercis millepunctata"
"of no interest","unknown","never/rarely","never/rarely",0,"Parapercis multiplicata"
NA,NA,"never/rarely","never/rarely",0,"Parapercis pacifica"
NA,NA,"never/rarely","never/rarely",0,"Parapercis queenslandica"
NA,"unknown","never/rarely","never/rarely",0,"Parapercis ramsayi"
NA,"unknown","never/rarely","never/rarely",0,"Parapercis schauinslandii"
NA,"unknown","never/rarely","never/rarely",0,"Parapercis snyderi"
NA,"unknown","never/rarely","never/rarely",0,"Parapercis stricticeps"
NA,"unknown","never/rarely","never/rarely",0,"Parapercis tetracantha"
NA,NA,"never/rarely","never/rarely",0,"Parapercis xanthogramma"
NA,"unknown","never/rarely","never/rarely",0,"Parapercis xanthozona"
NA,"unknown","never/rarely","never/rarely",0,"Paraplesiops bleekeri"
"commercial","unknown","never/rarely","never/rarely",0,"Paraplesiops meleagris"
NA,"unknown","never/rarely","never/rarely",0,"Paraplesiops poweri"
NA,"unknown","never/rarely","never/rarely",0,"Paraplotosus butleri"
NA,"unknown","never/rarely","never/rarely",0,"Parapriacanthus dispar"
NA,"unknown","never/rarely","never/rarely",0,"Parapriacanthus elongatus"
NA,"unknown","never/rarely","never/rarely",0,"Parapriacanthus ransonneti"
"commercial","medium","never/rarely","never/rarely",0,"Parapristipoma octolineatum"
"commercial","medium","never/rarely","never/rarely",0,"Parapristipoma trilineatum"
NA,"unknown","never/rarely","never/rarely",0,"Parascorpis typus"
"of no interest",NA,"never/rarely","never/rarely",0,"Paratrachichthys trailli"
"minor commercial","medium","never/rarely","never/rarely",0,"Pareques acuminatus"
NA,"medium","never/rarely","never/rarely",0,"Pareques perissa"
"minor commercial","medium","never/rarely","never/rarely",0,"Pareques viola"
NA,"medium","never/rarely","never/rarely",0,"Parequula melbournensis"
"commercial","unknown","never/rarely","never/rarely",0,"Paristiopterus gallipavo"
"commercial","high","never/rarely","never/rarely",0,"Paristiopterus labiosus"
NA,"unknown","never/rarely","never/rarely",0,"Parma alboscapularis"
NA,"unknown","never/rarely","never/rarely",0,"Parma bicolor"
NA,"unknown","never/rarely","never/rarely",0,"Parma kermadecensis"
NA,"unknown","never/rarely","never/rarely",0,"Parma mccullochi"
NA,"unknown","never/rarely","never/rarely",0,"Parma microlepis"
NA,"unknown","never/rarely","never/rarely",0,"Parma occidentalis"
NA,"unknown","never/rarely","never/rarely",0,"Parma oligolepis"
NA,"unknown","never/rarely","never/rarely",0,"Parma polylepis"
NA,"unknown","never/rarely","never/rarely",0,"Parma unifasciata"
NA,"unknown","never/rarely","never/rarely",0,"Parma victoriae"
"commercial","medium","never/rarely","never/rarely",0,"Parupeneus barberinoides"
"commercial","medium","never/rarely","never/rarely",1,"Parupeneus barberinus"
NA,"medium","never/rarely","never/rarely",0,"Parupeneus chrysopleuron"
"commercial","medium","never/rarely","never/rarely",1,"Parupeneus ciliatus"
"commercial","medium","never/rarely","never/rarely",0,"Parupeneus crassilabris"
"commercial","medium","never/rarely","never/rarely",1,"Parupeneus cyclostomus"
"minor commercial","medium","never/rarely","never/rarely",0,"Parupeneus forsskali"
"commercial","medium","never/rarely","never/rarely",0,"Parupeneus heptacanthus"
"commercial","medium","never/rarely","never/rarely",1,"Parupeneus indicus"
NA,"medium","never/rarely","never/rarely",1,"Parupeneus insularis"
"commercial","medium","never/rarely","never/rarely",0,"Parupeneus macronemus"
"commercial","medium","never/rarely","never/rarely",1,"Parupeneus multifasciatus"
"minor commercial","medium","never/rarely","never/rarely",1,"Parupeneus pleurostigma"
NA,"medium","never/rarely",NA,0,"Parupeneus porphyreus"
"commercial","medium","never/rarely","never/rarely",0,"Parupeneus spilurus"
NA,"high","never/rarely","never/rarely",0,"Patagonotothen cornucola"
NA,"high","never/rarely","never/rarely",0,"Patagonotothen guntheri"
NA,"high","never/rarely","never/rarely",0,"Patagonotothen tessellata"
NA,"high","never/rarely","never/rarely",0,"Patagonotothen wiltoni"
"of no interest","unknown","never/rarely","never/rarely",0,"Pelates octolineatus"
"minor commercial","unknown","never/rarely","never/rarely",0,"Pelates quadrilineatus"
NA,"unknown","never/rarely","never/rarely",0,"Pelsartia humeralis"
NA,"unknown","never/rarely","never/rarely",0,"Pempheris adspersa"
NA,"unknown","never/rarely","usually",0,"Pempheris adusta"
NA,"unknown","never/rarely","never/rarely",0,"Pempheris affinis"
NA,"unknown","never/rarely","never/rarely",0,"Pempheris analis"
NA,"unknown","never/rarely","never/rarely",0,"Pempheris compressa"
NA,"unknown","never/rarely","never/rarely",0,"Pempheris klunzingeri"
NA,"unknown","never/rarely","never/rarely",0,"Pempheris mangula"
NA,"unknown","never/rarely","never/rarely",0,"Pempheris molucca"
NA,"unknown","never/rarely","never/rarely",0,"Pempheris multiradiata"
NA,"unknown","never/rarely","never/rarely",0,"Pempheris ornata"
"minor commercial","unknown","never/rarely","never/rarely",0,"Pempheris oualensis"
NA,"unknown","never/rarely","never/rarely",0,"Pempheris schomburgkii"
NA,"unknown","never/rarely","never/rarely",0,"Pempheris schwenkii"
NA,"unknown","never/rarely","never/rarely",0,"Pempheris vanicolensis"
"commercial","unknown","never/rarely","never/rarely",0,"Pentaceropsis recurvirostris"
NA,"high","never/rarely","never/rarely",0,"Pentapodus aureofasciatus"
"subsistence fisheries","high","never/rarely","never/rarely",0,"Pentapodus caninus"
"subsistence fisheries","high","never/rarely","never/rarely",0,"Pentapodus emeryii"
"subsistence fisheries","high","never/rarely","never/rarely",0,"Pentapodus paradiseus"
"subsistence fisheries","high","never/rarely","never/rarely",0,"Pentapodus porosus"
"subsistence fisheries","high","never/rarely","never/rarely",0,"Pentapodus trivittatus"
"subsistence fisheries","high","never/rarely","never/rarely",0,"Pentapodus vitta"
NA,"unknown","never/rarely","never/rarely",0,"Pervagor alternans"
NA,"unknown","never/rarely","never/rarely",0,"Pervagor aspricaudus"
NA,"unknown","never/rarely","never/rarely",0,"Pervagor janthinosoma"
NA,"unknown","never/rarely","never/rarely",0,"Pervagor marginalis"
"minor commercial","unknown","never/rarely","never/rarely",0,"Pervagor melanocephalus"
NA,"unknown","never/rarely","never/rarely",0,"Petroscirtes breviceps"
NA,"unknown","never/rarely","never/rarely",0,"Petroscirtes fallax"
NA,"unknown","never/rarely","never/rarely",0,"Petroscirtes lupus"
NA,"unknown","never/rarely","never/rarely",0,"Petroscirtes mitratus"
NA,"unknown","never/rarely","never/rarely",0,"Phanerodon atripes"
NA,"unknown","never/rarely","never/rarely",0,"Pholidapus dybowskii"
"of no interest","unknown","never/rarely","never/rarely",0,"Pholidichthys leucotaenia"
NA,"unknown","never/rarely","never/rarely",0,"Pholis crassispina"
"of no interest","unknown","never/rarely","never/rarely",0,"Pholis gunnellus"
NA,"very high","never/rarely","never/rarely",0,"Phyllogobius platycephalops"
"of no interest","unknown","never/rarely","never/rarely",0,"Pictichromis paccagnellae"
NA,"unknown","never/rarely","never/rarely",0,"Pictichromis porphyrea"
NA,"very high","never/rarely","never/rarely",0,"Pictilabrus laticlavius"
NA,"very high","never/rarely","never/rarely",0,"Pictilabrus viridis"
"of no interest","unknown","never/rarely","never/rarely",0,"Pinguipes brasilianus"
"of no interest","unknown","never/rarely","never/rarely",0,"Pinguipes chilensis"
NA,"unknown","never/rarely","never/rarely",0,"Plagiotremus azaleus"
NA,"unknown","never/rarely","never/rarely",0,"Plagiotremus ewaensis"
NA,"unknown",NA,NA,0,"Plagiotremus goslinei"
NA,"unknown","never/rarely",NA,0,"Plagiotremus laudandus"
NA,"unknown","never/rarely","never/rarely",0,"Plagiotremus phenax"
NA,"unknown","never/rarely","never/rarely",0,"Plagiotremus rhinorhynchos"
NA,"unknown","never/rarely","never/rarely",0,"Plagiotremus tapeinosoma"
NA,"unknown","never/rarely","never/rarely",0,"Plagiotremus townsendi"
NA,"low","never/rarely","never/rarely",0,"Platax batavianus"
NA,"low","never/rarely","never/rarely",0,"Platax boersii"
"minor commercial","low","commercial","never/rarely",0,"Platax orbicularis"
"minor commercial","low","never/rarely","never/rarely",0,"Platax pinnatus"
"minor commercial","low","never/rarely","never/rarely",1,"Platax teira"
"commercial","high","never/rarely","never/rarely",0,"Platycephalus bassensis"
NA,"high","never/rarely","never/rarely",0,"Platycephalus endrachtensis"
"commercial","high","never/rarely","never/rarely",1,"Platycephalus fuscus"
NA,"high","never/rarely","never/rarely",0,"Platycephalus laevigatus"
"commercial","high","never/rarely","never/rarely",1,"Platycephalus richardsoni"
"of no interest",NA,"never/rarely","never/rarely",0,"Platycephalus speculator"
NA,"unknown","never/rarely","never/rarely",0,"Platygillellus rubellulus"
NA,"medium",NA,NA,0,"Plectorhinchus albovittatus"
NA,NA,"never/rarely","never/rarely",0,"Plectorhinchus caeruleonothus"
"minor commercial","medium",NA,NA,0,"Plectorhinchus chaetodonoides"
NA,"medium","never/rarely","never/rarely",0,"Plectorhinchus chrysotaenia"
"commercial","medium","commercial",NA,0,"Plectorhinchus diagrammus"
"commercial","medium","never/rarely","never/rarely",0,"Plectorhinchus flavomaculatus"
"commercial","medium","never/rarely","never/rarely",1,"Plectorhinchus gaterinus"
"commercial","medium","never/rarely","never/rarely",1,"Plectorhinchus gibbosus"
NA,"medium","never/rarely","never/rarely",0,"Plectorhinchus lessonii"
"minor commercial","medium",NA,NA,0,"Plectorhinchus lineatus"
"commercial","medium","never/rarely","never/rarely",0,"Plectorhinchus multivittatus"
"commercial","medium","never/rarely","never/rarely",0,"Plectorhinchus picus"
"commercial","medium",NA,NA,0,"Plectorhinchus polytaenia"
"commercial","medium","never/rarely","never/rarely",1,"Plectorhinchus schotaf"
NA,"medium","never/rarely","never/rarely",0,"Plectorhinchus vittatus"
NA,"very high","never/rarely","never/rarely",0,"Plectranthias nanus"
"minor commercial","unknown","never/rarely","never/rarely",0,"Plectroglyphidodon dickii"
NA,"unknown","never/rarely","never/rarely",0,"Plectroglyphidodon flaviventris"
"of no interest","unknown","never/rarely","never/rarely",0,"Plectroglyphidodon imparipennis"
"of no interest","unknown","never/rarely","never/rarely",0,"Plectroglyphidodon johnstonianus"
"of no interest","unknown","never/rarely","never/rarely",0,"Plectroglyphidodon lacrymatus"
"of no interest","unknown","never/rarely","never/rarely",0,"Plectroglyphidodon leucozonus"
"of no interest","unknown","never/rarely","never/rarely",0,"Plectroglyphidodon phoenixensis"
"minor commercial","very high","never/rarely","never/rarely",0,"Plectropomus areolatus"
"commercial","very high","never/rarely","never/rarely",1,"Plectropomus laevis"
"commercial","very high","commercial","never/rarely",1,"Plectropomus leopardus"
"commercial","very high","commercial","never/rarely",1,"Plectropomus maculatus"
"minor commercial","very high","never/rarely","never/rarely",0,"Plectropomus oligacanthus"
"commercial","very high","never/rarely","never/rarely",1,"Plectropomus pessuliferus"
NA,"very high","never/rarely","never/rarely",0,"Pleurosicya elongata"
NA,"very high","never/rarely","never/rarely",0,"Pleurosicya mossambica"
"commercial","low","never/rarely","never/rarely",0,"Plotosus canius"
NA,NA,"never/rarely","never/rarely",0,"Plotosus japonicus"
"commercial","low","never/rarely","never/rarely",0,"Plotosus lineatus"
"minor commercial","very high","never/rarely","never/rarely",0,"Pogonoperca punctata"
"commercial","low","never/rarely","never/rarely",1,"Pollachius pollachius"
"highly commercial","low","never/rarely","never/rarely",1,"Pollachius virens"
"commercial","very high","never/rarely","never/rarely",0,"Polysteganus praeorbitalis"
"minor commercial","very high","never/rarely","never/rarely",1,"Polysteganus undulosus"
"minor commercial","high","never/rarely","never/rarely",0,"Pomacanthus arcuatus"
"minor commercial","high","never/rarely","never/rarely",0,"Pomacanthus imperator"
"commercial","high","never/rarely","never/rarely",0,"Pomacanthus maculosus"
"subsistence fisheries","high","never/rarely","never/rarely",0,"Pomacanthus navarchus"
"minor commercial","high","never/rarely","never/rarely",0,"Pomacanthus paru"
"minor commercial","high","never/rarely","never/rarely",0,"Pomacanthus semicirculatus"
"subsistence fisheries","high","never/rarely","never/rarely",0,"Pomacanthus sexstriatus"
"commercial","high","never/rarely","never/rarely",0,"Pomacanthus xanthometopon"
"subsistence fisheries","high","never/rarely","never/rarely",0,"Pomacanthus zonipectus"
NA,"unknown","never/rarely","never/rarely",0,"Pomacentrus adelus"
NA,"unknown","never/rarely","never/rarely",0,"Pomacentrus albimaculus"
NA,"unknown","never/rarely","never/rarely",0,"Pomacentrus alexanderae"
NA,"unknown","never/rarely","never/rarely",0,"Pomacentrus alleni"
NA,"unknown","never/rarely","never/rarely",0,"Pomacentrus amboinensis"
NA,"unknown","never/rarely","never/rarely",0,"Pomacentrus aurifrons"
NA,"unknown","never/rarely","never/rarely",0,"Pomacentrus auriventris"
NA,"unknown","never/rarely","never/rarely",0,"Pomacentrus australis"
NA,"unknown","never/rarely","never/rarely",0,"Pomacentrus baenschi"
NA,"unknown","never/rarely","never/rarely",0,"Pomacentrus bankanensis"
NA,"unknown","never/rarely","never/rarely",0,"Pomacentrus brachialis"
NA,"unknown","never/rarely","never/rarely",0,"Pomacentrus burroughi"
"of no interest","unknown","never/rarely","never/rarely",0,"Pomacentrus caeruleus"
NA,"unknown","never/rarely","never/rarely",0,"Pomacentrus callainus"
NA,"unknown","never/rarely","never/rarely",0,"Pomacentrus chrysurus"
NA,"unknown","never/rarely","never/rarely",0,"Pomacentrus coelestis"
NA,"unknown","never/rarely","never/rarely",0,"Pomacentrus cuneatus"
"of no interest","unknown","never/rarely","never/rarely",0,"Pomacentrus grammorhynchus"
NA,"unknown","never/rarely","never/rarely",0,"Pomacentrus imitator"
NA,"unknown","never/rarely","never/rarely",0,"Pomacentrus indicus"
"highly commercial","unknown","never/rarely","never/rarely",0,"Pomacentrus lepidogenys"
NA,NA,"never/rarely","never/rarely",0,"Pomacentrus microspilus"
NA,"unknown","never/rarely","never/rarely",0,"Pomacentrus milleri"
NA,"unknown","never/rarely","never/rarely",0,"Pomacentrus moluccensis"
NA,"unknown","never/rarely","never/rarely",0,"Pomacentrus nagasakiensis"
"of no interest","unknown","never/rarely","never/rarely",0,"Pomacentrus nigromanus"
NA,"unknown","never/rarely","never/rarely",0,"Pomacentrus nigromarginatus"
NA,"unknown","never/rarely","never/rarely",0,"Pomacentrus opisthostigma"
"minor commercial","unknown","never/rarely","never/rarely",0,"Pomacentrus pavo"
