"sp_name","ages_mean"
"Anisotremus scapularis",20.6449135440381
"Anisotremus surinamensis",6.14172277914922
"Anisotremus taeniatus",9.60790060320076
"Anisotremus virginicus",5.12725875826823
"Anoplocapros amygdaloides",2.5570311
"Anoplocapros inermis",2.77914630000029
"Anoplocapros lenticularis",2.96321056
"Anyperodon leucogrammicus",10.8874535441747
"Aphareus furca",9.38524025926196
"Aphareus rutilans",11.7689413531228
"Aploactisoma milesii",21.7428380468815
"Aplodactylus arctidens",15.9749212462912
"Aplodactylus etheridgii",15.6352489005285
"Aplodactylus lophodon",15.1124866416419
"Aplodactylus westralis",15.3369936436881
"Apogon atradorsatus",22.273895511013
"Apogon atricaudus",17.6311206710386
"Apogon binotatus",15.7963150396433
"Apogon dovii",16.4842670808724
"Apogon imberbis",17.022444171102
"Apogon lachneri",13.5995333095708
"Apogon maculatus",13.269223797948
"Apogon pacificus",14.7542424144124
"Apogon retrosella",16.0007944201046
"Apogon townsendi",14.084613448353
"Apogonichthyoides timorensis",28.4547102812377
"Apolemichthys trimaculatus",15.4830944425028
"Aprion virescens",30.8826862490115
"Aracana aurita",1.54708152000023
"Aracana ornata",0.647543
"Archamia bleekeri",17.1222466106794
"Arcos poecilophthalmos",13.9836746199892
"Arenigobius frenatus",17.7695195291064
"Argyrosomus hololepidotus",10.7767434972207
"Argyrosomus japonicus",14.1966580426796
"Arothron caeruleopunctatus",5.90029375593061
"Arothron diadematus",7.59182436606182
"Arothron hispidus",5.41428384518464
"Arothron inconditus",7.68298649146359
"Arothron manilensis",7.35712113936967
"Arothron mappa",5.12407460087072
"Arothron meleagris",2.45282660849136
"Arothron nigropunctatus",2.80895258431187
"Arothron stellatus",9.25741143580983
"Arripis georgianus",19.3835470687907
"Arripis trutta",20.038753501695
"Arripis truttacea",21.6467167419325
"Arripis xylabion",19.4881008703058
"Artedius harringtoni",16.9254604449663
"Aspasmogaster tasmaniensis",15.2524921282317
"Aspidontus dussumieri",9.76028209523696
"Aspidontus taeniatus",8.46609027023623
"Assessor flavissimus",2.17467879155824
"Assessor macneilli",2.3145118048381
"Assessor randalli",2.57647303803534
"Assiculus punctatus",14.1237458881942
"Asterropteryx semipunctata",18.1483320089805
"Asterropteryx striata",16.5320303114259
"Atherina boyeri",14.1494939300002
"Atherina hepsetus",5.71816562
"Atherina presbyter",8.17544550000125
"Atherinomorus vaigiensis",44.53575011001
"Atractoscion aequidens",16.2805360589067
"Atrosalarias holomelas",8.84859609899229
"Atule mate",16.8330208991265
"Atypichthys latus",5.24258995001929
"Atypichthys strigatus",6.64594128893926
"Aulacocephalus temminckii",47.6782266635459
"Aulorhynchus flavidus",20.1909212782204
"Austrolabrus maculatus",9.99744198694772
"Axoclinus cocoensis",8.39933223979218
"Axoclinus lucillae",6.59568941369804
"Axoclinus multicinctus",8.28164516499318
"Axoclinus rubinoffi",7.33535182913147
"Azurina eupalama",10.2103751663462
"Balistapus undulatus",7.41619266999825
"Balistes capriscus",9.58635114000031
"Balistes polylepis",9.25356655999987
"Balistes punctatus",19.2342711500008
"Balistes vetula",9.15913975000001
"Balistoides conspicillum",4.85446621000098
"Balistoides viridescens",14.3032735522288
"Bathygobius krefftii",19.9371601641495
"Bathygobius lineatus",19.4982334290409
"Bathystethus cultratus",10.0346991808077
"Batrachoides boulengeri",18.1188838407254
"Belone belone",48.5363619999999
"Belonoperca chabanaudi",15.6954402387357
"Blenniella chrysospilos",8.08212828771887
"Bodianus albotaeniatus",13.1408800569101
"Bodianus anthioides",10.9428585782887
"Bodianus axillaris",12.2561506220537
"Bodianus bilunulatus",12.4876310023796
"Bodianus diana",9.40449275976891
"Bodianus dictynna",8.15373376952928
"Bodianus diplotaenia",18.2734787232427
"Bodianus eclancheri",10.0155586138361
"Bodianus frenchii",19.659434764553
"Bodianus loxozonus",8.53650376655762
"Bodianus mesothorax",12.6206601294468
"Bodianus perditio",10.0810158384528
"Bodianus rufus",18.3041603740897
"Bodianus scrofa",14.3815526375285
"Bodianus unimaculatus",22.3656165893969
"Bolbometopon muricatum",7.9253551051508
"Boops boops",16.5708439085586
"Boopsoidea inornata",15.4697572647622
"Boreogadus saida",8.34939010999985
"Bothragonus occidentalis",11.5947703682588
"Bovichtus angustifrons",25.7037954671064
"Bovichtus argentinus",28.315638731385
"Brachaluteres jacksonianus",14.348250377364
"Brachionichthys hirsutus",41.2260214378409
"Brachyistius frenatus",4.86211186110241
"Bryaninops amplus",23.3305298316637
"Bryaninops erythrops",17.6162736815675
"Bryaninops natans",24.3323349539618
"Bryaninops nexus",22.7461845238082
"Bryaninops yongei",18.9172592017867
"Caesio caerulaurea",7.36386470484923
"Caesio cuning",25.4391358185027
"Caesio lunaris",7.44484780232783
"Caesio striata",10.6246296521439
"Caesio suevica",15.2406299387662
"Caesio teres",5.12027068648856
"Caesio varilineata",6.03030686215369
"Caesio xanthonota",5.51990507529258
"Caesioperca lepidoptera",13.9527488899137
"Caesioperca rasor",13.8961410027999
"Caesioscorpis theagenes",8.88372392381502
"Caffrogobius nudiceps",23.4865465100889
"Calamus bajonado",9.66695551496481
"Calamus brachysomus",21.5783948904248
"Calamus calamus",27.4959773259645
"Calamus pennatula",28.8462718198171
"Calamus taurinus",27.8333910670234
"Callanthias australis",32.1212166973381
"Calliclinus geniguttatus",47.9767348801971
"Callionymus comptus",28.4953272550319
"Callionymus lyra",11.2952356688618
"Calloplesiops altivelis",6.69857693359771
"Calotomus carolinus",12.7888817153885
"Calotomus japonicus",11.3643582317565
"Calotomus spinidens",12.5657014285739
"Calotomus viridescens",11.9067703303043
"Cantherhines dumerilii",5.11844056697968
"Cantherhines fronticinctus",6.01805867163039
"Cantherhines longicaudus",28.8559700679404
"Cantherhines macrocerus",5.90519661413639
"Cantherhines pardalis",8.86309841531339
"Cantherhines pullus",12.3018588737177
"Cantherhines sandwichiensis",10.7051099391877
"Cantheschenia grandisquamis",6.00208104939259
"Canthidermis maculata",3.29776320000003
"Canthidermis sufflamen",3.02447900000011
"Canthigaster amboinensis",5.60694490874534
"Canthigaster axiologus",3.5348159820355
"Canthigaster bennetti",21.5217979612207
"Canthigaster callisterna",3.4028153467989
"Canthigaster capistrata",4.63906614225113
"Canthigaster compressa",2.02824391675594
"Canthigaster coronata",4.92236531925805
"Canthigaster cyanetron",10.5989045284643
"Canthigaster epilampra",3.3327406939635
"Canthigaster figueiredoi",3.37570149317908
"Canthigaster jactator",2.54224332929058
"Canthigaster janthinoptera",1.07259808285978
"Canthigaster marquesensis",5.8941793082774
"Canthigaster papua",1.26274187904395
"Canthigaster punctatissima",1.11592456493102
"Canthigaster rapaensis",3.81987610674839
"Canthigaster rivulata",3.10686871420079
"Canthigaster rostrata",3.15890990281568
"Canthigaster sanctaehelenae",2.78546672268211
"Canthigaster smithae",3.7700185312509
"Canthigaster valentini",6.62563290557341
"Caprodon longimanus",25.2743094211613
"Caracanthus maculatus",17.5081397724779
"Caracanthus typicus",16.2932933151676
"Caracanthus unipinna",17.7229114978292
"Carangoides bajad",8.94747152488815
"Carangoides bartholomaei",13.296877588131
"Carangoides chrysophrys",8.414211954266
"Carangoides ferdau",13.3496140183892
"Carangoides fulvoguttatus",11.6086572177459
"Carangoides gymnostethus",6.6210797306967
"Carangoides orthogrammus",13.7433896514307
"Carangoides plagiotaenia",9.56057530934604
"Caranx caballus",6.96376886329495
"Caranx caninus",6.29489252621825
"Caranx crysos",5.83826053620757
"Caranx ignobilis",5.2984871638777
"Caranx latus",6.77577484669845
"Caranx lugubris",6.14135431527332
"Caranx melampygus",4.58705662276775
"Caranx papuensis",4.77815925351495
"Caranx sexfasciatus",10.7748616542727
"Caulolatilus princeps",26.882028300438
"Centroberyx affinis",13.2361753
"Centroberyx gerrardi",10.6388646999992
"Centroberyx lineatus",7.608669
"Centrogenys vaigiensis",52.3847015314362
"Centrolabrus exoletus",6.96617084024922
"Centropogon australis",31.593317689539
"Centropyge acanthops",3.80859990174938
"Centropyge argi",5.69097231109243
"Centropyge bicolor",8.13481115941504
"Centropyge bispinosa",4.99653219217733
"Centropyge eibli",6.98273753574897
"Centropyge ferrugata",5.19208369858088
"Centropyge fisheri",14.7272596951732
"Centropyge flavissima",8.02166243219708
"Centropyge heraldi",8.26577900267718
"Centropyge hotumatua",7.05335564406083
"Centropyge joculator",3.80900497159183
"Centropyge loriculus",3.18887634500142
"Centropyge multispinis",13.7056484199842
"Centropyge nox",8.91346350022008
"Centropyge tibicen",7.97507909635444
"Centropyge vrolikii",7.93101778267511
"Cephalopholis argus",9.27158838557228
"Cephalopholis boenak",11.3200435439266
"Cephalopholis cruentata",11.8878672676999
"Cephalopholis cyanostigma",10.9357550213081
"Cephalopholis formosa",10.3793843665319
"Cephalopholis fulva",8.1806093534075
"Cephalopholis hemistiktos",9.21562875464201
"Cephalopholis leopardus",9.68834949823631
"Cephalopholis microprion",9.57247519035445
"Cephalopholis miniata",8.61697519426686
"Cephalopholis panamensis",9.75578697590634
"Cephalopholis sexmaculata",8.45451902631237
"Cephalopholis sonnerati",8.52025355967346
"Cephalopholis spiloparaea",9.21637476385306
"Cephalopholis urodeta",9.35699962885841
"Cetoscarus bicolor",8.41288168561871
"Cetoscarus ocellatus",7.95087105225255
"Chaenopsis schmitti",13.3388104210003
"Chaetodermis penicilligerus",12.1989824667553
"Chaetodipterus faber",18.4522189821172
"Chaetodipterus zonatus",23.1383248743918
"Chaetodon adiergastos",2.81997839516845
"Chaetodon andamanensis",10.8336889839978
"Chaetodon argentatus",3.73070393520092
"Chaetodon assarius",2.93200474848136
"Chaetodon aureofasciatus",3.86487407370101
"Chaetodon auriga",3.16739518464438
"Chaetodon auripes",3.42007800742839
"Chaetodon austriacus",2.96078209352722
"Chaetodon baronessa",4.31400256043887
"Chaetodon bennetti",3.78345509645833
"Chaetodon capistratus",5.71191389491767
"Chaetodon citrinellus",5.32821976516729
"Chaetodon collare",3.34844967245493
"Chaetodon decussatus",2.19458471415447
"Chaetodon dolosus",1.64303862783204
"Chaetodon ephippium",5.82206498894199
"Chaetodon falcula",2.88820781127324
"Chaetodon fasciatus",1.36784571469506
"Chaetodon flavirostris",1.59640997630946
"Chaetodon guentheri",1.49662819612411
"Chaetodon guttatissimus",2.08002535054162
"Chaetodon humeralis",7.37954439357495
"Chaetodon interruptus",4.28637422161764
"Chaetodon kleinii",1.68835032358204
"Chaetodon lineolatus",4.46007076204925
"Chaetodon litus",3.74743522664374
"Chaetodon lunula",2.49810595725806
"Chaetodon lunulatus",1.90185704556497
"Chaetodon madagaskariensis",1.51693715948497
"Chaetodon marleyi",4.61556051573647
"Chaetodon melannotus",4.14306768702144
"Chaetodon melapterus",4.3124590734813
"Chaetodon mertensii",2.44024400638581
"Chaetodon meyeri",3.418344885858
"Chaetodon miliaris",1.56916149121288
"Chaetodon multicinctus",4.11728337022056
"Chaetodon nigropunctatus",2.51817974253672
"Chaetodon ocellatus",7.22860149857118
"Chaetodon ocellicaudus",3.47870955903288
"Chaetodon octofasciatus",4.54363461809083
"Chaetodon ornatissimus",3.18514817036458
"Chaetodon oxycephalus",4.01486685173866
"Chaetodon paucifasciatus",2.44366324654946
"Chaetodon pelewensis",2.88419089885558
"Chaetodon plebeius",5.00228696194234
"Chaetodon punctatofasciatus",1.80167307383746
"Chaetodon quadrimaculatus",5.19298084409337
"Chaetodon rafflesii",4.88824499529489
"Chaetodon rainfordi",5.98599782074881
"Chaetodon reticulatus",2.94868346716218
"Chaetodon sedentarius",1.5565514267122
"Chaetodon semeion",6.49602738041734
"Chaetodon semilarvatus",4.80276612172768
"Chaetodon speculum",3.56107139847605
"Chaetodon striatus",6.9695458267547
"Chaetodon triangulum",6.55781962646398
"Chaetodon trichrous",2.29117557957294
"Chaetodon tricinctus",8.13474898607974
"Chaetodon trifascialis",8.75821734963285
"Chaetodon trifasciatus",2.49436180091182
"Chaetodon ulietensis",3.51909098966374
"Chaetodon unimaculatus",2.10360275232616
"Chaetodon vagabundus",2.39685165338002
"Chaetodon wiebeli",3.08571403255346
"Chaetodon xanthocephalus",6.31884247258075
"Chaetodon xanthurus",2.67780555406319
"Chaetodon zanzibarensis",4.02947320166287
"Chaetodontoplus conspicillatus",8.67063146336405
"Chaetodontoplus duboulayi",6.48968393839256
"Chaetodontoplus meredithi",14.1305074240185
"Chaetodontoplus mesoleucus",8.31664744768304
"Chaetodontoplus personifer",5.05129205898788
"Chaetodontoplus septentrionalis",7.32286359130445
"Chaetodontoplus vanderloosi",8.17199878797593
"Champsocephalus esox",14.5307254696971
"Chanos chanos",158.176817
"Cheilinus abudjubbe",12.3684726426563
"Cheilinus chlorourus",15.3842481459709
"Cheilinus fasciatus",9.8921615640292
"Cheilinus lunulatus",11.8880990361208
"Cheilinus oxycephalus",11.1148106497813
"Cheilinus trilobatus",14.7309905043293
"Cheilinus undulatus",13.1122418901214
"Cheilio inermis",15.8323582484207
"Cheilodactylus ephippium",12.0205273194348
"Cheilodactylus fasciatus",14.0693581712108
"Cheilodactylus francisi",6.9141604360682
"Cheilodactylus fuscus",9.75035647345818
"Cheilodactylus gibbosus",6.91137919795321
"Cheilodactylus nigripes",6.33169037001807
"Cheilodactylus pixi",13.0209767821124
"Cheilodactylus plessisi",6.10856078122059
"Cheilodactylus rubrolabiatus",10.8669108742326
"Cheilodactylus spectabilis",7.0454384386778
"Cheilodactylus vestitus",6.80281926099965
"Cheilodactylus zebra",5.66223328201839
"Cheilodactylus zonatus",7.63464649274739
