"sp_name","esthe_score","file_name","copyright","kingdom","phylum","class","order","family","genus","aesthe_effect"
"Acanthopagrus bifasciatus",1470.8723,"Acanthopagrus_bifasciatus_A_1","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Sparidae","Acanthopagrus",-0.00670939727159827
"Acanthopagrus latus",1187.185,"Acanthopagrus_latus_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Sparidae","Acanthopagrus",-0.0337035421012097
"Acanthostracion polygonius",1690.079,"Acanthostracion_polygonius_J_1","NO","Animalia","Chordata","Actinopteri","Tetraodontiformes","Ostraciidae","Acanthostracion",0.0107919113295068
"Acanthostracion quadricornis",1635.688,"Acanthostracion_quadricornis_J_1","NO","Animalia","Chordata","Actinopteri","Tetraodontiformes","Ostraciidae","Acanthostracion",0.00667083370652687
"Acanthurus achilles",1564.5798,"Acanthurus_achilles_A_1",NA,"Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.00107143108452296
"Acanthurus albipectoralis",1454.019,"Acanthurus_albipectoralis_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",-0.0081612309744769
"Acanthurus auranticavus",1475.0842,"Acanthurus_auranticavus_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",-0.00634915981783942
"Acanthurus bahianus",1804.743,"Acanthurus_bahianus_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.0190617070544355
"Acanthurus bariene",1639.583,"Acanthurus_bariene_A_2","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.00697047197136611
"Acanthurus blochii",1682.147,"Acanthurus_blochii_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.0101992539716031
"Acanthurus chirurgus",1530.2114,"Acanthurus_chirurgus_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",-0.00172679410581154
"Acanthurus chronixis",1493.023,"Acanthurus_chronixis_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",-0.00482631398161692
"Acanthurus coeruleus",1808.11,"Acanthurus_coeruleus_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.0192965241961831
"Acanthurus dussumieri",1591.272,"Acanthurus_dussumieri_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.0032025857688301
"Acanthurus fowleri",1586.1997,"Acanthurus_fowleri_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.00280036873757747
"Acanthurus gahhm",1459.8541,"Acanthurus_gahhm_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",-0.0076566683276852
"Acanthurus grammoptilus",1640.4786,"Acanthurus_grammoptilus_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.00703926888294927
"Acanthurus guttatus",1604.0798,"Acanthurus_guttatus_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.00421252450496568
"Acanthurus leucocheilus",1572.432,"Acanthurus_leucocheilus_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.0017021167410717
"Acanthurus leucopareius",1469.2407,"Acanthurus_leucopareius_A_2","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",-0.00684922283099569
"Acanthurus leucosternon",1870.82,"Acanthurus_leucosternon_A_2","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.0235918310063994
"Acanthurus lineatus",1917.0204,"Acanthurus_lineatus_A_2","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.0266651840258158
"Acanthurus maculiceps",1607.5024,"Acanthurus_maculiceps_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.00448104294460825
"Acanthurus mata",1683.412,"Acanthurus_mata_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.0102939583775477
"Acanthurus nigricans",1709.461,"Acanthurus_nigricans_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.0122284588139831
"Acanthurus nigricauda",1370.9316,"Acanthurus_nigricauda_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",-0.0155741018617389
"Acanthurus nigrofuscus",1562.6637,"Acanthurus_nigrofuscus_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.000917050253874468
"Acanthurus nigroris",1560.4371,"Acanthurus_nigroris_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.000737414358358613
"Acanthurus nubilus",1550.6538,"Acanthurus_nubilus_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",-5.49244879894453e-05
"Acanthurus olivaceus",1649.809,"Acanthurus_olivaceus_J_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.0077537724686083
"Acanthurus pyroferus",1665.0464,"Acanthurus_pyroferus_J_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.00891197946880519
"Acanthurus reversus",1583.5986,"Acanthurus_reversus_J_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.00259361071734287
"Acanthurus sohal",1698.0228,"Acanthurus_sohal_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.0113826691683634
"Acanthurus tennentii",1662.25041852688,"Acanthurus_tennentii_8","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.00870025078711817
"Acanthurus thompsoni",1360.3678,"Acanthurus_thompsoni_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",-0.016548619879488
"Acanthurus triostegus",1601.775,"Acanthurus_triostegus_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",0.00403137951859895
"Acanthurus tristis",1478.122,"Acanthurus_tristis_J_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",-0.00608997926848964
"Acanthurus xanthopterus",1486.7289,"Acanthurus_xanthopterus_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus",-0.00535853377962708
"Achoerodus gouldii",1513.0717,"Achoerodus_gouldii_A_1","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Achoerodus",-0.00314585914380007
"Achoerodus viridis",1510.3435,"Achoerodus_viridis_M_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Achoerodus",-0.00337321983293803
"Aetapcus maculatus",1470.3533,"Aetapcus_maculatus_A_2","YES","Animalia","Chordata","Actinopteri","Perciformes","Pataecidae","Aetapcus",-0.00675385792814664
"Aethaloperca rogaa",1588.5294,"Aethaloperca_rogaa_A_2","YES","Animalia","Chordata","Actinopteri","Perciformes","Serranidae","Aethaloperca",0.00298526590223673
"Afurcagobius tamarensis",1368.8524,"Afurcagobius_tamarensis_A_2","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Afurcagobius",-0.0157653146222391
"Aioliops brachypterus",1476.381,"Aioliops_brachypterus_A_1","YES","Animalia","Chordata","Actinopteri","Perciformes","Microdesmidae","Aioliops",-0.0062384535501239
"Aioliops novaeguineae",1254.8787,"Aioliops_novaeguineae_A_1","YES","Animalia","Chordata","Actinopteri","Perciformes","Microdesmidae","Aioliops",-0.0267173683281207
"Albula glossodonta",1237.746,"Albula_glossodonta_A_1","NO","Animalia","Chordata","Actinopteri","Albuliformes","Albulidae","Albula",-0.0284492276115792
"Alectis ciliaris",1336.7205,"Alectis_ciliaris_J_1","NO","Animalia","Chordata","Actinopteri","Carangiformes","Carangidae","Alectis",-0.0187578165064353
"Alectis indica",1369.7192,"Alectis_indica_A_2","NO","Animalia","Chordata","Actinopteri","Carangiformes","Carangidae","Alectis",-0.0156855644437524
"Alloclinus holderi",1427.3304,"Alloclinus_holderi_A_1","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Labrisomidae","Alloclinus",-0.0104951142646138
"Allomycterus pilatus",1472.9896,"Allomycterus_pilatus_A_1","YES","Animalia","Chordata","Actinopteri","Tetraodontiformes","Diodontidae","Allomycterus",-0.00652817904080745
"Alphestes immaculatus",1510.3021,"Alphestes_immaculatus_A_2","YES","Animalia","Chordata","Actinopteri","Perciformes","Serranidae","Alphestes",-0.00337667315762643
"Altrichthys azurelineatus",1421.8921,"Altrichthys_azurelineatus_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Altrichthys",-0.0109760357393673
"Altrichthys curatus",1462.4418,"Altrichthys_curatus_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Altrichthys",-0.00743355439197039
"Aluterus scriptus",1608.1896,"Aluterus_scriptus_A_2","YES","Animalia","Chordata","Actinopteri","Tetraodontiformes","Monacanthidae","Aluterus",0.00453488796662071
"Amanses scopas",1466.009,"Amanses_scopas_A_2","NO","Animalia","Chordata","Actinopteri","Tetraodontiformes","Monacanthidae","Amanses",-0.00712663340310448
"Ambassis jacksoniensis",1327.6875,"Ambassis_jacksoniensis_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Ambassidae","Ambassis",-0.0196120366172724
"Amblycirrhitus bimacula",1394.8323,"Amblycirrhitus_bimacula_A_1","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Cirrhitidae","Amblycirrhitus",-0.0133966770137021
"Amblycirrhitus earnshawi",1349.9833,"Amblycirrhitus_earnshawi_A_2","NO","Animalia","Chordata","Actinopteri","Centrarchiformes","Cirrhitidae","Amblycirrhitus",-0.0175140014621931
"Amblycirrhitus pinos",1454.9655,"Amblycirrhitus_pinos_A_1","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Cirrhitidae","Amblycirrhitus",-0.00807924943430922
"Amblyeleotris fasciata",1357.9485,"Amblyeleotris_fasciata_A_1","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblyeleotris",-0.0167728669082396
"Amblyeleotris guttata",1470.9946,"Amblyeleotris_guttata_A_1","NO","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblyeleotris",-0.00669892260318001
"Amblyeleotris gymnocephala",1296.466,"Amblyeleotris_gymnocephala_A_1","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblyeleotris",-0.0226099692473551
"Amblyeleotris japonica",1360.3741,"Amblyeleotris_japonica_A_2","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblyeleotris",-0.0165480364477491
"Amblyeleotris periophthalma",1454.2373,"Amblyeleotris_periophthalma_A_3","NO","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblyeleotris",-0.00814231808408791
"Amblyeleotris steinitzi",1383.633,"Amblyeleotris_steinitzi_A_2","NO","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblyeleotris",-0.0144122826437619
"Amblyeleotris sungami",1356.9629,"Amblyeleotris_sungami_A_1","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblyeleotris",-0.0168643375864912
"Amblyeleotris wheeleri",1444.8875,"Amblyeleotris_wheeleri_A_1","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Amblyeleotris",-0.00895491236669649
"Amblyglyphidodon aureus",1658.964,"Amblyglyphidodon_aureus_A_2","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon",0.00845092744268494
"Amblyglyphidodon batunai",1443.958,"Amblyglyphidodon_batunai_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon",-0.00903598269653966
"Amblyglyphidodon curacao",1379.7534,"Amblyglyphidodon_curacao_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon",-0.0147660212552112
