"sp_name","esthe_score","file_name","copyright","kingdom","phylum","class","order","family","genus","aesthe_effect"
"Cirrhitichthys oxycephalus",1763.8467,"Cirrhitichthys_oxycephalus_A_1","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Cirrhitidae","Cirrhitichthys",0.0161740656490207
"Cirrhitops fasciatus",1596.5364,"Cirrhitops_fasciatus_A_1","NO","Animalia","Chordata","Actinopteri","Centrarchiformes","Cirrhitidae","Cirrhitops",0.00361868212363139
"Cirrhitops hubbardi",1462.6782,"Cirrhitops_hubbardi_A_1","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Cirrhitidae","Cirrhitops",-0.00741319144489494
"Cirrhitus pinnulatus",1545.529,"Cirrhitus_pinnulatus_A_2","NO","Animalia","Chordata","Actinopteri","Centrarchiformes","Cirrhitidae","Cirrhitus",-0.00047197395532074
"Cirrhitus rivulatus",1689.0604,"Cirrhitus_rivulatus_A_1","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Cirrhitidae","Cirrhitus",0.0107159601673649
"Cirripectes alboapicalis",1611.7646,"Cirripectes_alboapicalis_A_1","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Blenniidae","Cirripectes",0.00481463363899541
"Cirripectes alleni",1306.3599,"Cirripectes_alleni_A_1","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Blenniidae","Cirripectes",-0.0216521990143522
"Cirripectes auritus",1445.7239,"Cirripectes_auritus_F_1","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Blenniidae","Cirripectes",-0.00888200671914142
"Cirripectes castaneus",1484.8091,"Cirripectes_castaneus_M_2","NO","Animalia","Chordata","Actinopteri","Blenniiformes","Blenniidae","Cirripectes",-0.00552131773841169
"Cirripectes chelomatus",1425.92,"Cirripectes_chelomatus_A_1","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Blenniidae","Cirripectes",-0.0106196629920266
"Cirripectes filamentosus",1374.8386,"Cirripectes_filamentosus_A_1","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Blenniidae","Cirripectes",-0.0152155794050568
"Cirripectes fuscoguttatus",1484.794,"Cirripectes_fuscoguttatus_M_1","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Blenniidae","Cirripectes",-0.00552259893385675
"Cirripectes hutchinsi",1378.2747,"Cirripectes_hutchinsi_A_2","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Blenniidae","Cirripectes",-0.0149011097225748
"Cirripectes polyzona",1348.2366,"Cirripectes_polyzona_J_1","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Blenniidae","Cirripectes",-0.0176771104477009
"Cirripectes springeri",1414.922,"Cirripectes_springeri_A_1","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Blenniidae","Cirripectes",-0.0115951144261113
"Cirripectes stigmaticus",1575.9106,"Cirripectes_stigmaticus_A_1","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Blenniidae","Cirripectes",0.00198051052254676
"Cirripectes vanderbilti",1410.2069,"Cirripectes_vanderbilti_A_1","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Blenniidae","Cirripectes",-0.0120156375577173
"Cirripectes variolosus",1329.0529,"Cirripectes_variolosus_A_2","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Blenniidae","Cirripectes",-0.0194825432084802
"Cleidopus gloriamaris",1928.227,"Cleidopus_gloriamaris_A_2","YES","Animalia","Chordata","Actinopteri","Trachichthyiformes","Monocentridae","Cleidopus",0.0273995079198358
"Clepticus parrae",1524.076,"Clepticus_parrae_A_3","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Clepticus",-0.00223293381616301
"Clinus latipennis",1280.2528,"Clinus_latipennis_A_1","NO","Animalia","Chordata","Actinopteri","Blenniiformes","Clinidae","Clinus",-0.0241953890998387
"Clinus superciliosus",1485.2737,"Clinus_superciliosus_A_2","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Clinidae","Clinus",-0.00548190401188773
"Clinus venustris",1535.1724,"Clinus_venustris_A_4","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Clinidae","Clinus",-0.00131901816826383
"Cnidoglanis macrocephalus",1270.7332,"Cnidoglanis_macrocephalus_A_1","YES","Animalia","Chordata","Actinopteri","Siluriformes","Plotosidae","Cnidoglanis",-0.0251356524053189
"Cochleoceps bicolor",1600.1838,"Cochleoceps_bicolor_A_2","NO","Animalia","Chordata","Actinopteri","Gobiesociformes","Gobiesocidae","Cochleoceps",0.00390616753000683
"Cochleoceps orientalis",1511.3312,"Cochleoceps_orientalis_A_1","NO","Animalia","Chordata","Actinopteri","Gobiesociformes","Gobiesocidae","Cochleoceps",-0.00329086023695059
"Conger verreauxi",1191.4794,"Conger_verreauxi_A_1","NO","Animalia","Chordata","Actinopteri","Anguilliformes","Congridae","Conger",-0.0332486518392306
"Congiopodus peruvianus",1273.4122,"Congiopodus_peruvianus_A_2","YES","Animalia","Chordata","Actinopteri","Perciformes","Congiopodidae","Congiopodus",-0.0248703337468142
"Conniella apterygia",1571.2792,"Conniella_apterygia_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Conniella",0.00160972180026705
"Coradion altivelis",1672.7362,"Coradion_altivelis_M_2","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Coradion",0.00949246929590776
"Coradion chrysozonus",1667.7784,"Coradion_chrysozonus_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Coradion",0.00911851993579835
"Coris auricularis",1451.3477,"Coris_auricularis_F_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Coris",-0.00839289504266626
"Coris aurilineata",1544.9137,"Coris_aurilineata_M_2","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Coris",-0.000522139215808717
"Coris aygula",1609.0249,"Coris_aygula_F_4","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Coris",0.00460030627660469
"Coris batuensis",1557.438,"Coris_batuensis_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Coris",0.000495049743255345
"Coris bulbifrons",1585.5024,"Coris_bulbifrons_J_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Coris",0.00274497455870263
"Coris caudimacula",1464.1993,"Coris_caudimacula_F_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Coris",-0.0072822460873084
"Coris centralis",1330.2473,"Coris_centralis_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Coris",-0.019369376338459
"Coris cuvieri",1513.0372,"Coris_cuvieri_J_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Coris",-0.00314873171888189
"Coris debueni",1424.8147,"Coris_debueni_A_2","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Coris",-0.0107173552699411
"Coris dorsomacula",1454.8911,"Coris_dorsomacula_M_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Coris",-0.00808569169351998
"Coris formosa",1638.1228,"Coris_formosa_J_1","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Coris",0.00685822380641488
"Coris gaimard",1679.1588,"Coris_gaimard_M_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Coris",0.00997525883059045
"Coris hewetti",1685.3157,"Coris_hewetti_M_1","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Coris",0.0104363451006028
"Coris julis",1526.0151,"Coris_julis_M_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Coris",-0.00207274791070145
"Coris picta",1465.1146,"Coris_picta_J_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Coris",-0.00720351714612245
"Coris pictoides",1458.9558,"Coris_pictoides_J_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Coris",-0.00773421308647193
"Coris roseoviridis",1533.173,"Coris_roseoviridis_F_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Coris",-0.00148320274201786
"Coris sandeyeri",1519.6935,"Coris_sandeyeri_M_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Coris",-0.00259571713589996
"Coris venusta",1573.0487,"Coris_venusta_A_1","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Coris",0.0017515163801389
"Coryphopterus alloides",1272.0762,"Coryphopterus_alloides_A_1","NO","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Coryphopterus",-0.0250025766035467
"Coryphopterus dicrus",1315.0665,"Coryphopterus_dicrus_A_1","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Coryphopterus",-0.0208153456485184
"Coryphopterus eidolon",1411.8579,"Coryphopterus_eidolon_A_2","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Coryphopterus",-0.0118682309378446
"Coryphopterus glaucofraenum",1347.5571,"Coryphopterus_glaucofraenum_A_3","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Coryphopterus",-0.0177406200894348
"Coryphopterus hyalinus",1339.0795,"Coryphopterus_hyalinus_A_1","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Coryphopterus",-0.0185356844431397
"Coryphopterus lipernes",1416.9237,"Coryphopterus_lipernes_A_2","NO","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Coryphopterus",-0.0114170134408328
"Coryphopterus personatus",1396.8716,"Coryphopterus_personatus_A_2","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Coryphopterus",-0.0132126215602639
"Coryphopterus thrix",1357.4445,"Coryphopterus_thrix_A_2","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Coryphopterus",-0.016819633389435
"Coryphopterus tortugae",1282.8131,"Coryphopterus_tortugae_A_2","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Coryphopterus",-0.0239436978747638
"Coryphopterus urospilus",1459.2534,"Coryphopterus_urospilus_A_1","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Coryphopterus",-0.00770851780658006
"Cratinus agassizii",1223.4474,"Cratinus_agassizii_A_2","NO","Animalia","Chordata","Actinopteri","Perciformes","Serranidae","Cratinus",-0.0299130537844717
"Cremnochorites capensis",1285.0833,"Cremnochorites_capensis_A_2","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Tripterygiidae","Cremnochorites",-0.0237209448650687
"Crenimugil crenilabis",1239.5447,"Crenimugil_crenilabis_A_1","YES","Animalia","Chordata","Actinopteri","Mugiliformes","Mugilidae","Crenimugil",-0.0282662833947292
"Cristiceps aurantiacus",1481.4777,"Cristiceps_aurantiacus_A_2","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Clinidae","Cristiceps",-0.00580429443437743
"Crocodilichthys gracilis",1540.8826,"Crocodilichthys_gracilis_F_1","NO","Animalia","Chordata","Actinopteri","Blenniiformes","Tripterygiidae","Crocodilichthys",-0.000851288876381744
"Cromileptes altivelis",1701.993,"Cromileptes_altivelis_A_1","NO","Animalia","Chordata","Actinopteri","Perciformes","Serranidae","Cromileptes",0.0116768866635457
"Crossosalarias macrospilus",1409.2969,"Crossosalarias_macrospilus_A_1","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Blenniidae","Crossosalarias",-0.0120969590931134
"Cryptichthys jojettae",1454.7949,"Cryptichthys_jojettae_A_2","NO","Animalia","Chordata","Actinopteri","Blenniiformes","Tripterygiidae","Cryptichthys",-0.00809402209234956
"Cryptocentrus caeruleomaculatus",1399.727,"Cryptocentrus_caeruleomaculatus_A_2","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Cryptocentrus",-0.0129553606412084
"Cryptocentrus caeruleopunctatus",1419.0405,"Cryptocentrus_caeruleopunctatus_A_2","NO","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Cryptocentrus",-0.0112289449628349
"Cryptocentrus cinctus",1463.5352,"Cryptocentrus_cinctus_A_2","NO","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Cryptocentrus",-0.00733939903626634
"Cryptocentrus cryptocentrus",1316.2166,"Cryptocentrus_cryptocentrus_A_1","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Cryptocentrus",-0.0207052158356351
"Cryptocentrus fasciatus",1428.4963,"Cryptocentrus_fasciatus_A_1","YES",NA,NA,NA,NA,NA,NA,-0.0103922495741866
"Cryptocentrus leucostictus",1444.3323,"Cryptocentrus_leucostictus_A_2","NO","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Cryptocentrus",-0.00900333024192803
"Cryptocentrus strigilliceps",1382.6354,"Cryptocentrus_strigilliceps_A_1","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Cryptocentrus",-0.0145031481373877
"Ctenochaetus binotatus",1698.5942,"Ctenochaetus_binotatus_A_2","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Ctenochaetus",0.0114250559563772
"Ctenochaetus cyanocheilus",1633.3828,"Ctenochaetus_cyanocheilus_J_2","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Ctenochaetus",0.00649316080159149
"Ctenochaetus flavicauda",1641.5615,"Ctenochaetus_flavicauda_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Ctenochaetus",0.00712240339137042
"Ctenochaetus hawaiiensis",1884.5906,"Ctenochaetus_hawaiiensis_J_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Ctenochaetus",0.024515750709326
"Ctenochaetus marginatus",1720.678,"Ctenochaetus_marginatus_A_2","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Ctenochaetus",0.0130524136274592
"Ctenochaetus striatus",1614.6956,"Ctenochaetus_striatus_A_3","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Ctenochaetus",0.00504352345618116
"Ctenochaetus tominiensis",1590.978,"Ctenochaetus_tominiensis_A_2","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Ctenochaetus",0.00317930754267909
"Ctenochaetus truncatus",1619.9419,"Ctenochaetus_truncatus_A_1","NO","Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Ctenochaetus",0.00545218590359529
"Ctenogobiops aurocingulus",1273.5017,"Ctenogobiops_aurocingulus_A_1","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Ctenogobiops",-0.0248614796224348
"Ctenogobiops crocineus",1327.7229,"Ctenogobiops_crocineus_A_1","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Ctenogobiops",-0.0196086776292377
"Ctenogobiops feroculus",1316.0583,"Ctenogobiops_feroculus_A_1","NO","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Ctenogobiops",-0.0207203684133257
"Ctenogobiops maculosus",1349.2954,"Ctenogobiops_maculosus_A_1","NO","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Ctenogobiops",-0.0175782132020821
"Ctenogobiops mitodes",1291.5093,"Ctenogobiops_mitodes_A_1","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Ctenogobiops",-0.0230925498761954
"Ctenogobiops pomastictus",1258.8838,"Ctenogobiops_pomastictus_A_2","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Ctenogobiops",-0.026315923067587
"Ctenogobiops tangaroai",1439.9713,"Ctenogobiops_tangaroai_A_2","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Ctenogobiops",-0.00938429279820659
"Ctenolabrus rupestris",1253.4437,"Ctenolabrus_rupestris_A_2","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Ctenolabrus",-0.0268615152717893
"Cybiosarda elegans",1312.2148,"Cybiosarda_elegans_A_1","YES","Animalia","Chordata","Actinopteri","Scombriformes","Scombridae","Cybiosarda",-0.0210888311313881
"Cyclichthys orbicularis",1427.3381,"Cyclichthys_orbicularis_A_2","YES","Animalia","Chordata","Actinopteri","Tetraodontiformes","Diodontidae","Cyclichthys",-0.0104944346356344
"Cymatoceps nasutus",1385.8914,"Cymatoceps_nasutus_A_2","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Sparidae","Cymatoceps",-0.0142068201228797
"Cymatogaster aggregata",1262.8911,"Cymatogaster_aggregata_A_1","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Embiotocidae","Cymatogaster",-0.0259155335021224
"Cymbacephalus beauforti",1277.0721,"Cymbacephalus_beauforti_A_2","YES","Animalia","Chordata","Actinopteri","Perciformes","Platycephalidae","Cymbacephalus",-0.0245087709730388
"Cypho purpurascens",1599.4272,"Cypho_purpurascens_M_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pseudochromidae","Cypho",0.00384658677387699
"Cypho zaps",1524.2233,"Cypho_zaps_M_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pseudochromidae","Cypho",-0.00222075845122376
"Cyprinocirrhites polyactis",1439.281,"Cyprinocirrhites_polyactis_A_1","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Cirrhitidae","Cyprinocirrhites",-0.00944470087451809
"Dactylophora nigricans",1277.4574,"Dactylophora_nigricans_A_4","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Cheilodactylidae","Dactylophora",-0.0244707673556922
"Dactylopus dactylopus",1464.2546,"Dactylopus_dactylopus_A_2","YES","Animalia","Chordata","Actinopteri","Callionymiformes","Callionymidae","Dactylopus",-0.00727748809663664
"Daector reticulata",1302.5336,"Daector_reticulata_A_1","YES","Animalia","Chordata","Actinopteri","Batrachoidiformes","Batrachoididae","Daector",-0.022021737627871
"Daector schmitti",1387.5432,"Daector_schmitti_A_1","NO","Animalia","Chordata","Actinopteri","Batrachoidiformes","Batrachoididae","Daector",-0.0140567561533109
"Dascyllus albisella",1563.3616,"Dascyllus_albisella_J_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Dascyllus",0.000973302201477931
"Dascyllus aruanus",1672.289,"Dascyllus_aruanus_A_1","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Dascyllus",0.00945878408660574
"Dascyllus carneus",1647.8154,"Dascyllus_carneus_A_1","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Dascyllus",0.00760144657428651
"Dascyllus flavicaudus",1727.7822,"Dascyllus_flavicaudus_J_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Dascyllus",0.013571485412022
"Dascyllus marginatus",1525.0277,"Dascyllus_marginatus_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Dascyllus",-0.00215428997179833
"Dascyllus melanurus",1650.104,"Dascyllus_melanurus_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Dascyllus",0.0077762970315894
"Dascyllus reticulatus",1499.2355,"Dascyllus_reticulatus_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Dascyllus",-0.0043031898396115
"Dascyllus strasburgi",1447.8727,"Dascyllus_strasburgi_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Dascyllus",-0.008694897607721
"Dascyllus trimaculatus",1766.6998,"Dascyllus_trimaculatus_J_1","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Dascyllus",0.0163776816947358
"Decapterus koheru",1283.4854,"Decapterus_koheru_A_1","YES","Animalia","Chordata","Actinopteri","Carangiformes","Carangidae","Decapterus",-0.0238776904487345
"Decapterus macarellus",1191.333,"Decapterus_macarellus_A_1","NO","Animalia","Chordata","Actinopteri","Carangiformes","Carangidae","Decapterus",-0.0332641324493278
"Decapterus muroadsi",1205.3492,"Decapterus_muroadsi_A_2","YES","Animalia","Chordata","Actinopteri","Carangiformes","Carangidae","Decapterus",-0.0317905934543365
"Decapterus punctatus",1204.082,"Decapterus_punctatus_A_2","NO","Animalia","Chordata","Actinopteri","Carangiformes","Carangidae","Decapterus",-0.0319231092111227
"Dellichthys morelandi",1474.5162,"Dellichthys_morelandi_A_1","NO","Animalia","Chordata","Actinopteri","Gobiesociformes","Gobiesocidae","Dellichthys",-0.00639767995324639
"Dendrochirus barberi",1648.7328,"Dendrochirus_barberi_A_1","YES","Animalia","Chordata","Actinopteri","Perciformes","Scorpaenidae","Dendrochirus",0.00767156564689793
"Dendrochirus zebra",1781.51,"Dendrochirus_zebra_A_2","YES","Animalia","Chordata","Actinopteri","Perciformes","Scorpaenidae","Dendrochirus",0.0174293795809905
"Dentex dentex",1280.4333,"Dentex_dentex_A_2","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Sparidae","Dentex",-0.024177628496721
"Dermatolepis dermatolepis",1669.2161,"Dermatolepis_dermatolepis_J_1","YES","Animalia","Chordata","Actinopteri","Perciformes","Serranidae","Dermatolepis",0.00922707489172716
"Diademichthys lineatus",1483.4409,"Diademichthys_lineatus_A_2","YES","Animalia","Chordata","Actinopteri","Gobiesociformes","Gobiesocidae","Diademichthys",-0.00563745885230725
"Diagramma labiosum",1541.9493,"Diagramma_labiosum_J_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Haemulidae","Diagramma",-0.000764106377121184
"Diagramma melanacrum",1428.035,"Diagramma_melanacrum_A_3","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Haemulidae","Diagramma",-0.0104329389771849
"Dialommus fuscus",1352.4775,"Dialommus_fuscus_A_3","YES","Animalia","Chordata","Actinopteri","Blenniiformes","Labrisomidae","Dialommus",-0.0172814554792968
"Dicentrarchus labrax",1200.6089,"Dicentrarchus_labrax_A_2","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Moronidae","Dicentrarchus",-0.0322870202056153
"Dicentrarchus punctatus",1245.9229,"Dicentrarchus_punctatus_A_2","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Moronidae","Dicentrarchus",-0.027619695116749
"Dichistius capensis",1236.5197,"Dichistius_capensis_A_1","NO","Animalia","Chordata","Actinopteri","Centrarchiformes","Dichistiidae","Dichistius",-0.0285741059972152
"Dicotylichthys punctulatus",1421.2706,"Dicotylichthys_punctulatus_A_2","YES","Animalia","Chordata","Actinopteri","Tetraodontiformes","Diodontidae","Dicotylichthys",-0.0110311134999146
"Didogobius amicuscaridis",1350.4763,"Didogobius_amicuscaridis_A_1","YES","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Didogobius",-0.017468002706237
"Dinolestes lewini",1195.0391,"Dinolestes_lewini_A_3","YES","Animalia","Chordata","Actinopteri","Acropomatiformes","Dinolestidae","Dinolestes",-0.0328728267563077
"Diodon holocanthus",1495.9473,"Diodon_holocanthus_A_2","YES","Animalia","Chordata","Actinopteri","Tetraodontiformes","Diodontidae","Diodon",-0.00457980241042969
"Diodon hystrix",1477.8584,"Diodon_hystrix_A_2","NO","Animalia","Chordata","Actinopteri","Tetraodontiformes","Diodontidae","Diodon",-0.00611244811117707
"Diodon liturosus",1574.5275,"Diodon_liturosus_A_1","NO","Animalia","Chordata","Actinopteri","Tetraodontiformes","Diodontidae","Diodon",0.00186989412648081
"Diodon nicthemerus",1588.0167,"Diodon_nicthemerus_A_1","YES","Animalia","Chordata","Actinopteri","Tetraodontiformes","Diodontidae","Diodon",0.00294459863352628
"Diplodus annularis",1385.12,"Diplodus_annularis_J_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Sparidae","Diplodus",-0.0142769621285103
"Diplodus argenteus",1284.8044,"Diplodus_argenteus_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Sparidae","Diplodus",-0.0237482894425259
"Diplodus capensis",1254.6116,"Diplodus_capensis_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Sparidae","Diplodus",-0.0267441862557799
"Diplodus cervinus",1354.4839,"Diplodus_cervinus_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Sparidae","Diplodus",-0.0170947004172511
"Diplodus puntazzo",1244.285,"Diplodus_puntazzo_A_3","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Sparidae","Diplodus",-0.0277854203678034
"Diplodus sargus",1303.6282,"Diplodus_sargus_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Sparidae","Diplodus",-0.0219159119787255
"Diplodus vulgaris",1382.5284,"Diplodus_vulgaris_A_3","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Sparidae","Diplodus",-0.0145128980284176
"Diplogrammus goramensis",1448.7642,"Diplogrammus_goramensis_A_1","YES","Animalia","Chordata","Actinopteri","Callionymiformes","Callionymidae","Diplogrammus",-0.00861735075989673
"Diplogrammus xenicus",1346.7904,"Diplogrammus_xenicus_A_1","YES","Animalia","Chordata","Actinopteri","Callionymiformes","Callionymidae","Diplogrammus",-0.0178123183655879
"Diploprion bifasciatum",1562.479,"Diploprion_bifasciatum_A_3","NO","Animalia","Chordata","Actinopteri","Perciformes","Serranidae","Diploprion",0.000902158910098424
"Diproctacanthus xanthurus",1424.3364,"Diproctacanthus_xanthurus_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Diproctacanthus",-0.0107596534566234
"Dipterygonotus balteatus",1277.5616,"Dipterygonotus_balteatus_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Caesionidae","Dipterygonotus",-0.0244604916789918
"Dischistodus chrysopoecilus",1352.2087,"Dischistodus_chrysopoecilus_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Dischistodus",-0.0173064963385546
"Dischistodus darwiniensis",1513.4353,"Dischistodus_darwiniensis_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Dischistodus",-0.00311558868241764
"Dischistodus melanotus",1474.1152,"Dischistodus_melanotus_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Dischistodus",-0.00643194574221465
"Dischistodus perspicillatus",1490.0355,"Dischistodus_perspicillatus_J_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Dischistodus",-0.00507865225987706
"Dischistodus prosopotaenia",1520.9667,"Dischistodus_prosopotaenia_J_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Dischistodus",-0.00249021394074961
"Dischistodus pseudochrysopoecilus",1483.944,"Dischistodus_pseudochrysopoecilus_J_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Dischistodus",-0.00559474022531368
"Doratonotus megalepis",1463.4819,"Doratonotus_megalepis_A_2","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Doratonotus",-0.0073439871988196
"Dotalabrus alleni",1620.6047,"Dotalabrus_alleni_A_2","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Dotalabrus",0.00550372076130808
"Dotalabrus aurantiacus",1394.1685,"Dotalabrus_aurantiacus_M_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Dotalabrus",-0.0134566458282739
